metric,group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
retention_time_s,baseline,bitline_precharge_opt,300,0.0,2.418014348569743e-47,0.28646481776276245,0.899165099946952,-0.20344444444444446,small,0.3982777777777778,1.4508086091418457e-46,True
retention_time_s,baseline,combined_low_power,300,13647.0,4.1427046923587975e-07,0.28646481776276245,0.2812382842960893,0.011066666666666667,negligible,0.5055333333333333,8.285409384717595e-07,True
retention_time_s,baseline,high_k_capacitor,300,1549.0,1.130154817225035e-34,0.28646481776276245,0.0539861416349324,0.3106888888888889,small,0.6553444444444444,3.3904644516751047e-34,True
retention_time_s,baseline,negative_wordline,300,61.0,4.1179984012346866e-42,0.28646481776276245,0.18056857879410215,0.05937777777777778,negligible,0.5296888888888889,2.0589992006173432e-41,True
retention_time_s,baseline,refresh_interval_opt,300,,1.0,0.28646481776276245,0.28646481776276245,0.0,negligible,0.5,1.0,False
retention_time_s,baseline,sense_amp_upsize,300,171.0,1.5654142140812348e-40,0.28646481776276245,0.2864557496031295,0.0027333333333333333,negligible,0.5013666666666666,6.261656856324939e-40,True
retention_time_s,baseline,wordline_boost,300,0.0,1.8048896005934408e-49,0.28646481776276245,1.279739133038059,-0.30515555555555557,small,0.34742222222222224,1.2634227204154086e-48,True
read_delay_ns,baseline,bitline_precharge_opt,192,3031.0,6.25156417798272e-16,4.6653400000000005,4.613995,0.044108072916666664,negligible,0.5220540364583334,2.500625671193088e-15,True
read_delay_ns,baseline,combined_low_power,192,4405.0,2.9343078619240693e-10,4.6653400000000005,4.331955000000001,0.07318793402777778,negligible,0.5365939670138888,5.868615723848139e-10,True
read_delay_ns,baseline,high_k_capacitor,192,0.0,2.9431770883303678e-33,4.6653400000000005,8.256305,-0.2722981770833333,small,0.3638509114583333,2.0602239618312574e-32,True
read_delay_ns,baseline,negative_wordline,192,3909.5,3.7875748537153865e-12,4.6653400000000005,4.66033,0.003363715277777778,negligible,0.5016818576388888,1.136272456114616e-11,True
read_delay_ns,baseline,refresh_interval_opt,192,,1.0,4.6653400000000005,4.6653400000000005,0.0,negligible,0.5,1.0,False
read_delay_ns,baseline,sense_amp_upsize,192,0.0,2.9431770883303678e-33,4.6653400000000005,2.9730100000000004,0.2535807291666667,small,0.6267903645833334,2.0602239618312574e-32,True
read_delay_ns,baseline,wordline_boost,192,0.0,2.9431770883303678e-33,4.6653400000000005,4.00286,0.10101996527777778,negligible,0.5505099826388888,2.0602239618312574e-32,True
write_delay_ns,baseline,bitline_precharge_opt,300,3.0,6.269293127466406e-51,1.224015,1.26393,-0.0406,negligible,0.4797,4.388505189226485e-50,True
write_delay_ns,baseline,combined_low_power,300,8100.0,6.213708520201182e-22,1.224015,1.3594,-0.13211111111111112,negligible,0.43394444444444447,1.8641125560603548e-21,True
write_delay_ns,baseline,high_k_capacitor,300,271.0,9.063250127255659e-50,1.224015,1.52355,-0.22102222222222223,small,0.3894888888888889,5.4379500763533954e-49,True
write_delay_ns,baseline,negative_wordline,300,11089.0,2.202100919879002e-14,1.224015,1.22237,-0.006111111111111111,negligible,0.49694444444444447,4.404201839758004e-14,True
write_delay_ns,baseline,refresh_interval_opt,300,,1.0,1.224015,1.224015,0.0,negligible,0.5,1.0,False
write_delay_ns,baseline,sense_amp_upsize,300,797.0,1.5634807476886233e-47,1.224015,1.225295,-0.004288888888888889,negligible,0.49785555555555555,7.817403738443117e-47,True
write_delay_ns,baseline,wordline_boost,300,7661.0,3.48086454914922e-23,1.224015,0.884159,0.24766666666666667,small,0.6238333333333334,1.392345819659688e-22,True
read_margin_mv,baseline,bitline_precharge_opt,300,0.0,6.083559849691437e-51,39.72400000000001,49.58349999999997,-0.2449888888888889,small,0.37750555555555554,4.2583320351881877e-50,True
