selection,found_by,vdd,vwl_boost,vwl_low,vblpre_ratio,cs,cbl_ratio,wacc,lacc,wsan,wsap_ratio,wen_ratio,t_write_pulse,t_sense_delay,retention_time_s,read_delay_ns,total_power_nw,read_margin_mv
knee,nsga3,1.2989312323738802,0.8995398804418048,-0.008575849116228,0.35693235605028056,3.5265746883703165e-14,2.0738851816889943,6.014667254106645e-08,5.845692764052817e-08,1.4146806744781656e-07,2.4735722630202135,1.2341201396249613,8.69413149579773e-09,8.593225411906203e-09,0.018793593847412436,4.996639291776914,8.017763736360623,245.8779011101356
weighted,nsga3,1.2269528361415292,0.9809408404997189,-0.03506945943574552,0.3500060992202984,3.986857667210921e-14,2.0038643688896003,6.53364790605826e-08,8.10445277697721e-08,2.0152711628811667e-07,2.986978665772224,3.8023545633568383,9.602116470008785e-09,1.949389650297177e-09,0.02108416468168486,2.9932700053531613,8.824146537045799,230.57483789529408
best_retention_time_s,nsga3,1.286896917471991,1.120586566908202,-0.02328966001296902,0.35040101681754066,3.996392700163866e-14,2.071129834097518,6.240140374685731e-08,6.565216495562446e-08,1.0831802906635405e-07,2.7241679145924924,3.8226646430968954,9.511235226458453e-09,8.502592716286901e-09,0.023263656007343436,5.848645235969718,12.75431761916655,260.251313921292
best_read_delay_ns,nsga2,1.2940367292070984,1.0881952304496352,-0.11589376088383202,0.3564717901170506,5.1617236476269935e-15,2.037266836521718,2.0959708207358342e-07,6.415891578506413e-08,4.789882826595281e-07,1.8568616009803824,3.147958453233895,6.319614122558708e-09,5.9809406557604254e-09,0.0004789254050805842,0.19953772448013912,8.79040430055515,225.82862578466825
best_total_power_nw,nsga2,0.7090358464569713,0.63615400809082,-0.05649558520594745,0.6334557884473587,5.3076542078368355e-15,2.0052790693296942,8.935740745168923e-08,8.232140909004605e-08,1.4418135764557313e-07,2.3131320126815194,1.530726187599197,9.667326198996871e-09,3.176253807825967e-09,0.00021684162062461903,25.03702383667448,0.31610786455523465,72.80230170332241
best_read_margin_mv,moead,1.2999830396540808,0.9965384312830855,-0.3997638447093391,0.35000052314569163,5.005642003921015e-15,2.000000000440129,2.1999891454737986e-07,1.199996457652774e-07,9.00000002834546e-08,1.0004739539595966,2.2076504884002675,5.0714951384067546e-09,1.2871485993355657e-09,0.00034178951836313015,1.171132496594175,3.9275677896461083,286.15355478878456
compromise,nsga2,1.285191488908361,0.9785859919203059,-0.05925552604808397,0.35142834831814235,3.938694066339251e-14,2.005107509537244,6.543690710097805e-08,6.236539781932467e-08,1.819235837344427e-07,2.7973463146510698,3.94180071454995,9.5694646330125e-09,9.594395750849393e-09,0.020972958455292696,2.9397387867482596,10.091379228507224,261.4859734694829
compromise,nsga2,1.2998119002339827,1.0534877037024355,-0.00378679337638347,0.35307431635655306,3.967401552129936e-14,2.004156385538328,6.27838768002147e-08,7.494309735971473e-08,1.7641870855454883e-07,2.975726864692014,3.640869772159774,9.298078472843037e-09,6.10482439978239e-09,0.022625772296153437,2.898571140188742,11.465855976538709,259.544412363405
compromise,nsga3,1.2468547345691021,1.0225827876815563,-0.02545372109462437,0.35355895034671164,3.953146133700639e-14,2.0022110032604457,6.493571758273981e-08,8.825894769340833e-08,2.3176197488535263e-07,2.939886397293876,3.8846868990460224,9.612481808191025e-09,2.4772614864059193e-09,0.02116123147020797,2.4637925094678144,9.7638911493498,236.99211353944722
compromise,nsga2,1.2700456320754796,1.0589385228406714,-0.002686186197360144,0.35307544286815745,3.967401552129936e-14,2.04609643064278,6.26013775608284e-08,6.86879731173487e-08,1.7661484126162482e-07,2.9777842489301025,3.640869772159774,9.629998050223785e-09,6.10482439978239e-09,0.02172034752861246,3.141273503533384,10.91637088551926,256.54646686266625
compromise,nsga2,1.2801812013347977,1.0816680294613765,-0.038654475557510753,0.3524799590158449,3.998140595548336e-14,2.0024490872522316,6.076576963986875e-08,6.113597380152943e-08,2.300519597433533e-07,2.789517206056477,2.9981538730762844,9.200402641317656e-09,8.91359882537142e-09,0.02183243528609339,2.552757926705481,11.37974848800888,259.0966901793458
compromise,nsga3,1.2988635493305196,1.0185898278795094,-0.024422525913773988,0.3547786046318664,3.7904205666780706e-14,2.040876161746452,6.038345903272231e-08,6.712010960192234e-08,2.4944477203248375e-07,1.9481525917004185,2.9110330287507655,9.293335994561443e-09,5.806777157127985e-09,0.02038728224813528,2.5833795996473334,10.374987258460981,258.01731198163094
