group_1,group_2,n_pairs,p_value,p_value_holm,significant,cliffs_delta,effect_magnitude,a12
bayesian,de,7,0.109375,0.546875,False,-0.7142857142857143,large,0.14285714285714285
bayesian,moead,7,0.015625,0.234375,False,-1.0,large,0.0
bayesian,nsga2,7,0.15625,0.625,False,-0.42857142857142855,medium,0.2857142857142857
bayesian,nsga3,7,0.015625,0.234375,False,-1.0,large,0.0
bayesian,pso,7,0.015625,0.234375,False,-0.7142857142857143,large,0.14285714285714285
de,moead,7,0.015625,0.234375,False,-1.0,large,0.0
de,nsga2,7,0.46875,0.9375,False,0.30612244897959184,small,0.6530612244897959
de,nsga3,7,0.03125,0.234375,False,-0.7959183673469388,large,0.10204081632653061
de,pso,7,0.6875,0.9375,False,-0.02040816326530612,negligible,0.4897959183673469
moead,nsga2,7,0.015625,0.234375,False,1.0,large,1.0
moead,nsga3,7,0.015625,0.234375,False,1.0,large,1.0
moead,pso,7,0.015625,0.234375,False,1.0,large,1.0
nsga2,nsga3,7,0.015625,0.234375,False,-0.9183673469387755,large,0.04081632653061224
nsga2,pso,7,0.21875,0.65625,False,-0.3877551020408163,medium,0.30612244897959184
nsga3,pso,7,0.078125,0.46875,False,0.673469387755102,large,0.8367346938775511
