group_1,group_2,n_pairs,p_value,p_value_holm,significant,cliffs_delta,effect_magnitude,a12
bayesian,de,7,0.015625,0.234375,False,1.0,large,1.0
bayesian,moead,7,0.015625,0.234375,False,1.0,large,1.0
bayesian,nsga2,7,0.015625,0.234375,False,-0.9591836734693877,large,0.02040816326530612
bayesian,nsga3,7,0.046875,0.234375,False,-0.7551020408163265,large,0.12244897959183673
bayesian,pso,7,0.015625,0.234375,False,1.0,large,1.0
de,moead,7,0.015625,0.234375,False,1.0,large,1.0
de,nsga2,7,0.015625,0.234375,False,-1.0,large,0.0
de,nsga3,7,0.015625,0.234375,False,-1.0,large,0.0
de,pso,7,0.46875,0.46875,False,0.30612244897959184,small,0.6530612244897959
moead,nsga2,7,0.015625,0.234375,False,-1.0,large,0.0
moead,nsga3,7,0.015625,0.234375,False,-1.0,large,0.0
moead,pso,7,0.015625,0.234375,False,-1.0,large,0.0
nsga2,nsga3,7,0.21875,0.4375,False,0.42857142857142855,medium,0.7142857142857143
nsga2,pso,7,0.015625,0.234375,False,1.0,large,1.0
nsga3,pso,7,0.015625,0.234375,False,1.0,large,1.0
