group_1,group_2,n_pairs,p_value,p_value_holm,significant,cliffs_delta,effect_magnitude,a12
bayesian,de,7,0.015625,0.234375,False,-1.0,large,0.0
bayesian,moead,7,0.015625,0.234375,False,-1.0,large,0.0
bayesian,nsga2,7,0.21875,0.65625,False,0.42857142857142855,medium,0.7142857142857143
bayesian,nsga3,7,0.578125,1.0,False,0.10204081632653061,negligible,0.5510204081632653
bayesian,pso,7,0.015625,0.234375,False,-1.0,large,0.0
de,moead,7,0.078125,0.390625,False,-0.7142857142857143,large,0.14285714285714285
de,nsga2,7,0.015625,0.234375,False,1.0,large,1.0
de,nsga3,7,0.015625,0.234375,False,1.0,large,1.0
de,pso,7,0.9375,1.0,False,-0.10204081632653061,negligible,0.4489795918367347
moead,nsga2,7,0.015625,0.234375,False,1.0,large,1.0
moead,nsga3,7,0.015625,0.234375,False,1.0,large,1.0
moead,pso,7,0.046875,0.28125,False,0.7142857142857143,large,0.8571428571428571
nsga2,nsga3,7,0.078125,0.390625,False,-0.6326530612244898,large,0.1836734693877551
nsga2,pso,7,0.015625,0.234375,False,-1.0,large,0.0
nsga3,pso,7,0.015625,0.234375,False,-1.0,large,0.0
