group_1,group_2,n_pairs,p_value,p_value_holm,significant,cliffs_delta,effect_magnitude,a12
bayesian,de,7,0.015625,0.234375,False,-1.0,large,0.0
bayesian,moead,7,0.015625,0.234375,False,1.0,large,1.0
bayesian,nsga2,7,0.21875,0.65625,False,0.5918367346938775,large,0.7959183673469388
bayesian,nsga3,7,0.046875,0.234375,False,0.5102040816326531,large,0.7551020408163265
bayesian,pso,7,0.015625,0.234375,False,-1.0,large,0.0
de,moead,7,0.015625,0.234375,False,1.0,large,1.0
de,nsga2,7,0.015625,0.234375,False,1.0,large,1.0
de,nsga3,7,0.015625,0.234375,False,1.0,large,1.0
de,pso,7,0.9375,1.0,False,-0.10204081632653061,negligible,0.4489795918367347
moead,nsga2,7,0.015625,0.234375,False,-1.0,large,0.0
moead,nsga3,7,0.015625,0.234375,False,-1.0,large,0.0
moead,pso,7,0.015625,0.234375,False,-1.0,large,0.0
nsga2,nsga3,7,0.8125,1.0,False,-0.02040816326530612,negligible,0.4897959183673469
nsga2,pso,7,0.015625,0.234375,False,-1.0,large,0.0
nsga3,pso,7,0.015625,0.234375,False,-1.0,large,0.0
