group_1,group_2,n_pairs,p_value,p_value_holm,significant,cliffs_delta,effect_magnitude,a12
bayesian,de,7,0.015625,0.234375,False,-1.0,large,0.0
bayesian,moead,7,0.015625,0.234375,False,1.0,large,1.0
bayesian,nsga2,7,0.15625,0.3125,False,-0.5510204081632653,large,0.22448979591836735
bayesian,nsga3,7,0.015625,0.234375,False,-0.9591836734693877,large,0.02040816326530612
bayesian,pso,7,0.015625,0.234375,False,-1.0,large,0.0
de,moead,7,0.015625,0.234375,False,1.0,large,1.0
de,nsga2,7,0.015625,0.234375,False,1.0,large,1.0
de,nsga3,7,0.03125,0.234375,False,0.8775510204081632,large,0.9387755102040817
de,pso,7,0.578125,0.578125,False,0.3877551020408163,medium,0.6938775510204082
moead,nsga2,7,0.015625,0.234375,False,-1.0,large,0.0
moead,nsga3,7,0.015625,0.234375,False,-1.0,large,0.0
moead,pso,7,0.015625,0.234375,False,-1.0,large,0.0
nsga2,nsga3,7,0.03125,0.234375,False,-0.8775510204081632,large,0.061224489795918366
nsga2,pso,7,0.015625,0.234375,False,-1.0,large,0.0
nsga3,pso,7,0.015625,0.234375,False,-1.0,large,0.0
