group_1,group_2,n_pairs,p_value,p_value_holm,significant,cliffs_delta,effect_magnitude,a12
bayesian,de,7,0.015625,0.234375,False,1.0,large,1.0
bayesian,moead,7,0.015625,0.234375,False,1.0,large,1.0
bayesian,nsga2,7,0.9375,0.9375,False,0.10204081632653061,negligible,0.5510204081632653
bayesian,nsga3,7,0.046875,0.234375,False,0.8367346938775511,large,0.9183673469387755
bayesian,pso,7,0.03125,0.234375,False,0.7551020408163265,large,0.8775510204081632
de,moead,7,0.015625,0.234375,False,1.0,large,1.0
de,nsga2,7,0.015625,0.234375,False,-1.0,large,0.0
de,nsga3,7,0.078125,0.3125,False,-0.7142857142857143,large,0.14285714285714285
de,pso,7,0.21875,0.65625,False,-0.14285714285714285,negligible,0.42857142857142855
moead,nsga2,7,0.015625,0.234375,False,-1.0,large,0.0
moead,nsga3,7,0.015625,0.234375,False,-1.0,large,0.0
moead,pso,7,0.015625,0.234375,False,-1.0,large,0.0
nsga2,nsga3,7,0.015625,0.234375,False,0.9183673469387755,large,0.9591836734693877
nsga2,pso,7,0.03125,0.234375,False,0.7551020408163265,large,0.8775510204081632
nsga3,pso,7,0.21875,0.65625,False,0.5918367346938775,large,0.7959183673469388
