feature,energy_per_access_fj,log10_retention_time_s,log10_total_power_nw,read_delay_ns,read_margin_mv,write_efficiency,mean_importance_pct
num__vdd,14.137165499640908,8.865239175776548,18.963621263199485,21.482048310044746,11.6488523478576,2.5352390265860376,12.938694270517553
num__vwl_overdrive,,9.323797029626798,3.1581361456844954,,5.5380089603465725,15.954568036142613,8.49362754295012
num__signal_charge_c,9.182596615661948,,5.059929317163091,,,,7.1212629664125195
num__charge_share_ratio,11.889312612732505,,7.108480451075469,6.46402358466276,5.120620129218084,1.8988114008571102,6.496249635709186
num__vwl_boost,,8.88741755111573,,,5.592100419966264,4.612620417279741,6.364046129453911
num__t_write_pulse,,6.99553926622238,,,3.844386115085134,7.804554424077278,6.21482660179493
num__vblpre_ratio,4.609275803127786,8.901213512180902,6.180454220616562,3.721758925020631,5.076592403093888,,5.697858972807953
num__sa_drive_ratio,7.592440024061568,,5.789208179652438,3.2833579770967742,,,5.555002060270261
num__cbl_over_cs,,6.843856611677397,,2.2304497441989244,7.401932584568739,,5.492079646815021
num__stored_charge_c,8.12048595433529,,5.5249062478763555,2.540004139480662,,,5.395132113897436
num__vgs_retention,4.185608641395859,2.57193490662314,5.336462235789958,7.500117051987076,6.6570965493269485,,5.250243877024596
num__cbl_ratio,,6.814483177237135,,2.8235639958696,7.522952997152671,2.3791441898986636,4.8850360900395176
cat__corner_FF,2.3324645845947867,2.482240248967762,4.010145743804434,5.017321184723787,4.3582648406192375,10.34448627685144,4.757487146593575
cat__corner_SF,,,2.635066790130093,,4.191728664498044,6.971593789283996,4.5994630813040445
num__cs,2.410120422021197,4.017233894365757,2.8494266973176976,8.950720293903652,,4.2620235683126815,4.497904975184197
num__wsan,3.8235056539839376,,4.619953109807603,4.952159054280524,,4.268331260637493,4.415987269677389
cat__corner_TT,,2.7936289765889546,3.1121385315490393,,3.96090175580834,7.187392202252313,4.263515366549662
cat__corner_FS,2.2065013329562833,2.260618843350418,,,3.902016017484128,8.528513572095497,4.224412441471582
cat__corner_SS,,,,,4.068882922332846,4.356409980939303,4.212646451636075
num__vwl_low,2.8404723800504215,,3.493611990049342,5.431425589388273,4.59197841223231,,4.089372092930086
