feature,importance_mean,importance_std
vdd,0.48452373242385655,0.014576548925610557
charge_share_ratio,0.24379741365988158,0.007852666922151166
signal_charge_c,0.21464351622987546,0.0047911083132944985
stored_charge_c,0.14941961078297722,0.0029649864800897485
sa_drive_ratio,0.14498873892034636,0.007641517516621916
vgs_retention,0.06835418811914717,0.0030731068889218085
cs,0.06031164042121289,0.0025105091657675353
vblpre_ratio,0.049756798838495264,0.0026448529736736144
corner,0.0480420735309516,0.0020613464408083945
cbl_ratio,0.03790781148473032,0.001761645815317087
cbl_over_cs,0.03555028854517387,0.001628517063952736
vwl_low,0.031920401955193384,0.0011540938125427964
wsan,0.030431279608772743,0.0017017420570359762
sa_aspect,0.03033114363118543,0.001547358726378629
inv_thermal_v,0.020286288591708883,0.0006585332181957549
temperature_c,0.013884765329003424,0.0008285269882639813
temperature_k,0.010653734387603309,0.0008723215926626744
t_write_pulse,0.006868923610696576,0.0006027727832071577
vwl_boost,0.006733323191113039,0.0006647433502833581
vwl_overdrive,0.006686929767265926,0.0006421004021575675
wsap_ratio,0.006479215305777974,0.0006105845305358032
wacc,0.004910493648460471,0.00025789684863128013
access_aspect,0.0029212249957605665,0.00027353664332658743
access_area,0.0018235093265485485,0.00011741362735620519
wen_ratio,0.0009546427979813199,6.308360104270993e-05
lacc,0.0005156861846342453,7.852640832898647e-05
t_sense_delay,0.00019761247120286078,3.083242428059418e-05
