feature,importance_mean,importance_std
vdd,0.6066750568877686,0.0211991799529502
vblpre_ratio,0.5613357302420408,0.017810266415110014
vwl_overdrive,0.5345159259845492,0.01505768939401854
vwl_boost,0.5115762195301086,0.01488214304781459
cbl_ratio,0.3760614284520876,0.012577515282634084
t_write_pulse,0.35906392379663044,0.015374880077471998
cbl_over_cs,0.34550897207338416,0.0127894312445166
cs,0.3089214385276066,0.012959347437206642
corner,0.2553418564124494,0.010722120906065929
temperature_k,0.1848611237445869,0.009831781412358808
temperature_c,0.16852034466894825,0.007495519865599238
wacc,0.15118000427089442,0.009421005581831118
inv_thermal_v,0.12421152551461993,0.00529214018082308
vgs_retention,0.11367360858331525,0.005592151217556595
lacc,0.08506416965291587,0.006521275570247803
charge_share_ratio,0.07444846758051549,0.005624618905386765
sa_drive_ratio,0.07335491645245516,0.005151376134016726
stored_charge_c,0.058916967587920525,0.008201106895371232
vwl_low,0.05562126455024768,0.0049784072888649665
signal_charge_c,0.0452359689554934,0.003715700102048666
access_aspect,0.03763637563660226,0.0028157912833225024
access_area,0.023150160352148282,0.0030731942310157157
sa_aspect,0.01058159220002477,0.0013369023066264868
wsan,0.007879273666999883,0.001135965637685872
wen_ratio,0.003932764595372684,0.0008179395111161222
t_sense_delay,0.003906230301054636,0.0008414157763885478
wsap_ratio,0.0033852257311011826,0.0005827523820737322
