feature,importance_mean,importance_std
vdd,0.6871512391178676,0.012074864810312336
charge_share_ratio,0.1123928795688744,0.00272302554179048
vgs_retention,0.10795586275779999,0.002355732875498018
corner,0.10446874485744027,0.002815423972343434
sa_drive_ratio,0.09965757271435627,0.004613264473929074
vblpre_ratio,0.08670651864049171,0.0019243983429771357
cs,0.08350395050824924,0.003116076851917267
stored_charge_c,0.06990558859954087,0.0015783078485773355
signal_charge_c,0.06074995434138798,0.0012912525598226688
vwl_low,0.054426949102702606,0.002744629960293462
wsan,0.052838127333513965,0.0011185746076996482
cbl_ratio,0.03315328015453767,0.001473983116531041
sa_aspect,0.030322656425158346,0.001028247362467207
vwl_overdrive,0.02648650136957312,0.0006866264982840906
cbl_over_cs,0.024131190331109435,0.0017269980208450982
t_write_pulse,0.022806227006789425,0.001535311443889909
vwl_boost,0.01865422932756237,0.0008298749719169958
temperature_k,0.013206427955313179,0.0006743454764063577
wacc,0.011464737614891552,0.0007246415777572135
wsap_ratio,0.007784318207326324,0.0005754643561659023
access_aspect,0.0069921674473625295,0.00045228532208418454
temperature_c,0.006677600204191636,0.0007831907703137139
inv_thermal_v,0.005189303660486185,0.0002954270447279365
access_area,0.004390583986375026,0.0002976188057061143
wen_ratio,0.003459947527273181,0.0005304801446310148
lacc,0.0019633716703276664,0.00016371884467903682
t_sense_delay,0.0012582660750014353,0.00026889660739781273
