feature,importance_mean,importance_std
vwl_overdrive,1.0235052870604113,0.02156197812056805
t_write_pulse,0.29898084916184986,0.008282443136126657
vwl_boost,0.24533239444769236,0.005540505272866891
cs,0.1908778221705096,0.008334141547756578
corner,0.10960876970062419,0.0026121050325215245
vdd,0.0836906865871689,0.0036472684261171866
wsan,0.05608589653522938,0.0011537001341611957
sa_aspect,0.05563686790557977,0.0011113183920883965
temperature_k,0.04163900723093753,0.0016013061015467294
inv_thermal_v,0.026329888374129404,0.0006595206169392841
vgs_retention,0.020672354231493984,0.0007716848794754793
cbl_ratio,0.01922182603545358,0.00084941214750902
stored_charge_c,0.016494136443631468,0.0010236295713057589
vwl_low,0.015501630716906379,0.0008665478495092245
lacc,0.014380478429229656,0.00025699885292629994
access_aspect,0.012632077597571501,0.0003394445736532961
cbl_over_cs,0.008767515121806572,0.0005066354005904952
access_area,0.008075794017964322,0.00023738590062743329
charge_share_ratio,0.008028349737933463,0.00016438686688853349
signal_charge_c,0.007592941243948581,0.0005759119651484976
temperature_c,0.007537466010403127,0.00035489159364095814
wacc,0.005024226521534144,0.0002840325214224426
vblpre_ratio,0.004740184794732971,0.0004140897665836362
sa_drive_ratio,0.002698279044671259,0.0004136157380336542
wen_ratio,2.3969689008906946e-05,8.793857733969508e-06
t_sense_delay,1.104795620141541e-05,7.775027533133862e-06
wsap_ratio,-4.0253936227048944e-06,1.2896510981161295e-05
