algorithm,label,run,generation,n_evaluations,n_nondominated,hypervolume
nsga2,NSGA-II,0,1,100,10,474.32277834253506
nsga2,NSGA-II,0,2,200,17,543.4600652090237
nsga2,NSGA-II,0,3,300,27,628.1943665454669
nsga2,NSGA-II,0,4,400,50,787.1997353981335
nsga2,NSGA-II,0,5,500,62,871.2191604330701
nsga2,NSGA-II,0,6,600,92,930.7531199050393
nsga2,NSGA-II,0,7,700,100,1154.3761397719754
nsga2,NSGA-II,0,8,800,100,1272.2445009539758
nsga2,NSGA-II,0,9,900,100,1420.0464836982371
nsga2,NSGA-II,0,10,1000,100,1448.6930970285766
nsga2,NSGA-II,0,11,1100,100,1691.0785415548764
nsga2,NSGA-II,0,12,1200,100,1720.916545136457
nsga2,NSGA-II,0,13,1300,100,1806.1878849923346
nsga2,NSGA-II,0,14,1400,100,1873.3792441604962
nsga2,NSGA-II,0,15,1500,100,2008.1385327904857
nsga2,NSGA-II,0,16,1600,100,2045.2531809558634
nsga2,NSGA-II,0,17,1700,100,2051.069367512256
nsga2,NSGA-II,0,18,1800,100,2268.4029369178434
nsga2,NSGA-II,0,19,1900,100,2358.1412369020572
nsga2,NSGA-II,0,20,2000,100,2406.9837587266256
nsga2,NSGA-II,0,21,2100,100,2453.167067276994
nsga2,NSGA-II,0,22,2200,100,2493.343977751782
nsga2,NSGA-II,0,23,2300,100,2476.3463956489327
nsga2,NSGA-II,0,24,2400,100,2575.6754058037627
nsga2,NSGA-II,0,25,2500,100,2616.382552189636
nsga2,NSGA-II,0,26,2600,100,2604.6973015191015
nsga2,NSGA-II,0,27,2700,100,2613.911819964884
nsga2,NSGA-II,0,28,2800,100,2714.4685488764458
nsga2,NSGA-II,0,29,2900,100,2698.349977962508
nsga2,NSGA-II,0,30,3000,100,2712.1235763275636
nsga2,NSGA-II,0,31,3100,100,2739.010615973961
nsga2,NSGA-II,0,32,3200,100,2758.4947616955633
nsga2,NSGA-II,0,33,3300,100,2787.2393634001414
nsga2,NSGA-II,0,34,3400,100,2845.693479392108
nsga2,NSGA-II,0,35,3500,100,2835.016727247499
nsga2,NSGA-II,0,36,3600,100,2850.828617550816
nsga2,NSGA-II,0,37,3700,100,2903.7862890255387
nsga2,NSGA-II,0,38,3800,100,2914.7103116229077
nsga2,NSGA-II,0,39,3900,100,2896.6451373003088
nsga2,NSGA-II,0,40,4000,100,2967.4552595295336
nsga2,NSGA-II,1,1,100,9,488.6956217540046
nsga2,NSGA-II,1,2,200,23,571.7046988982395
nsga2,NSGA-II,1,3,300,34,730.406111638108
nsga2,NSGA-II,1,4,400,42,913.0132224625058
nsga2,NSGA-II,1,5,500,59,1089.6685239979652
nsga2,NSGA-II,1,6,600,92,1316.9081863971742
nsga2,NSGA-II,1,7,700,100,1406.2252734653205
nsga2,NSGA-II,1,8,800,100,1552.8886076235458
nsga2,NSGA-II,1,9,900,100,1590.448611448945
nsga2,NSGA-II,1,10,1000,100,1664.4130551088606
nsga2,NSGA-II,1,11,1100,100,1762.0121438679325
nsga2,NSGA-II,1,12,1200,100,2039.4375303469942
nsga2,NSGA-II,1,13,1300,100,2128.2074794387854
nsga2,NSGA-II,1,14,1400,100,2160.680188860022
nsga2,NSGA-II,1,15,1500,100,2256.434106663163
nsga2,NSGA-II,1,16,1600,100,2313.0046715563803
nsga2,NSGA-II,1,17,1700,100,2342.2806831734642
nsga2,NSGA-II,1,18,1800,100,2389.3588038524504
nsga2,NSGA-II,1,19,1900,100,2394.8455896142177
nsga2,NSGA-II,1,20,2000,100,2500.3115971861075
nsga2,NSGA-II,1,21,2100,100,2520.441342086154
nsga2,NSGA-II,1,22,2200,100,2553.0354996607357
nsga2,NSGA-II,1,23,2300,100,2559.5567173406866
nsga2,NSGA-II,1,24,2400,100,2551.2711331812293
nsga2,NSGA-II,1,25,2500,100,2569.0597161654277
nsga2,NSGA-II,1,26,2600,100,2581.8684271914944
nsga2,NSGA-II,1,27,2700,100,2599.9421826941434
nsga2,NSGA-II,1,28,2800,100,2611.132165180809
nsga2,NSGA-II,1,29,2900,100,2623.558161247531
nsga2,NSGA-II,1,30,3000,100,2639.3377837480894
nsga2,NSGA-II,1,31,3100,100,2709.35708118272
nsga2,NSGA-II,1,32,3200,100,2725.261880097504
nsga2,NSGA-II,1,33,3300,100,2738.4963104443987
nsga2,NSGA-II,1,34,3400,100,2750.767464926404
nsga2,NSGA-II,1,35,3500,100,2797.6386749245617
nsga2,NSGA-II,1,36,3600,100,2806.3065167813666
nsga2,NSGA-II,1,37,3700,100,2829.71509657612
nsga2,NSGA-II,1,38,3800,100,2836.1454922893295
nsga2,NSGA-II,1,39,3900,100,2843.5214062938094
nsga2,NSGA-II,1,40,4000,100,2851.4698855585493
nsga2,NSGA-II,2,1,100,13,656.7820632043062
nsga2,NSGA-II,2,2,200,23,706.1842969540802
nsga2,NSGA-II,2,3,300,40,820.5026546015921
nsga2,NSGA-II,2,4,400,54,854.4789281652883
nsga2,NSGA-II,2,5,500,73,1007.4918665531379
nsga2,NSGA-II,2,6,600,97,1028.587651182901
nsga2,NSGA-II,2,7,700,100,1328.9661044241805
nsga2,NSGA-II,2,8,800,100,1511.1775050380304
nsga2,NSGA-II,2,9,900,100,1550.7216994466296
nsga2,NSGA-II,2,10,1000,100,1587.0268564786804
nsga2,NSGA-II,2,11,1100,100,1671.4351915054194
nsga2,NSGA-II,2,12,1200,100,1737.2998860896134
nsga2,NSGA-II,2,13,1300,100,1815.9396510872034
nsga2,NSGA-II,2,14,1400,100,1884.1291630186297
nsga2,NSGA-II,2,15,1500,100,1900.1372537389625
nsga2,NSGA-II,2,16,1600,100,2016.5757535690677
nsga2,NSGA-II,2,17,1700,100,2038.0335936660344
nsga2,NSGA-II,2,18,1800,100,2088.6400850990467
nsga2,NSGA-II,2,19,1900,100,2455.25540243215
nsga2,NSGA-II,2,20,2000,100,2476.9179232357733
nsga2,NSGA-II,2,21,2100,100,2511.9353132354904
nsga2,NSGA-II,2,22,2200,100,2533.888573923231
nsga2,NSGA-II,2,23,2300,100,2533.277602241011
nsga2,NSGA-II,2,24,2400,100,2523.886749139432
nsga2,NSGA-II,2,25,2500,100,2523.15022415013
nsga2,NSGA-II,2,26,2600,100,2534.2152569746318
nsga2,NSGA-II,2,27,2700,100,2533.2885199364373
nsga2,NSGA-II,2,28,2800,100,2524.999284821308
