algorithm,label,run,seed,runtime_s,n_evaluations,n_solutions,hypervolume,igd,igd_plus,spacing,spread,epsilon
nsga2,NSGA-II,0,2041530261,4.635,4000,100.0,2967.4552595295336,11.1530146797287,9.740221152730033,2.8313200028150387,191.12501734507538,6.575280170521559
nsga2,NSGA-II,1,989277653,4.843,4000,100.0,2851.4698855585493,10.945233322192522,8.728972393544543,2.6476577274328745,185.51050356203382,17.635552026308616
nsga2,NSGA-II,2,1737698627,3.912,4000,100.0,2673.35034380754,10.17634778940068,8.868131431091445,3.374947316351543,199.94826286623268,8.09447940882205
nsga2,NSGA-II,3,1131945333,2.414,4000,100.0,2764.957126944047,10.985784653059067,9.124075233288819,3.7923516857763513,185.72045672478293,12.992410187228245
nsga2,NSGA-II,4,1061314238,3.478,4000,100.0,3026.9279279082484,10.539847162517491,8.54595744022829,2.494387209765727,197.82112997479334,19.343463129437655
nsga2,NSGA-II,5,518875414,4.351,4000,100.0,2869.6584401201844,11.541333286465948,9.640910010398263,3.647525915817406,195.22906521246412,15.23522058880593
nsga2,NSGA-II,6,163471545,4.377,4000,100.0,2845.7748371152848,10.07316978284949,8.146552145232242,3.4632882876894193,208.88259217693167,6.096016611020529
nsga3,NSGA-III,0,1579260162,4.552,4000,38.0,2686.719205108479,12.646887942700879,9.573690191695558,5.455901528734245,170.06026537533714,22.02460052827506
nsga3,NSGA-III,1,2132582736,4.441,4000,40.0,2797.926014129418,13.597697586677572,10.126594248175778,6.222707508717608,162.29631850780726,27.61218645534659
nsga3,NSGA-III,2,1630972180,4.447,4000,41.0,2679.6541226606237,13.880675294118541,10.70324536712116,6.9504057121513725,167.8699229903949,22.811109825891776
nsga3,NSGA-III,3,1724896238,4.824,4000,36.0,2436.019067078698,10.630711425018076,6.674564882903834,3.4109870214254143,153.38133293750525,45.740806373203
nsga3,NSGA-III,4,642839799,4.566,4000,38.0,2845.021754416214,12.982063923604292,9.669705740871773,6.901740787762606,185.0334839411154,26.182517660862743
nsga3,NSGA-III,5,1280169087,4.467,4000,40.0,2700.272179417269,10.639580135945316,6.886891426440563,5.678210692592407,143.59479945149047,54.5917797978974
nsga3,NSGA-III,6,1873186086,4.459,4000,46.0,3088.1538583590223,11.493358875409868,7.876354550788701,6.093824716887657,191.01325784903605,17.48722622718575
moead,MOEA/D,0,896218015,251.967,4000,100.0,434.8553873999423,48.267223598518754,0.18266798592222502,0.20405447838173887,4.207647796635028,208.4341471774145
moead,MOEA/D,1,64891644,196.115,4000,98.0,423.8627394174681,48.50705282442951,0.19029543615411879,0.2610195670234243,4.569267392987979,208.85341650098871
moead,MOEA/D,2,1284776524,142.523,4000,99.0,418.0694630839511,49.53350168053678,0.23231283486410845,0.1500998406229281,3.079475555758997,210.58103177749678
moead,MOEA/D,3,845932339,136.968,4000,100.0,436.38904271344296,47.99485113045454,0.17707763350003763,0.2713580862568344,5.204446913390004,207.9946384936224
moead,MOEA/D,4,1649186928,249.249,4000,95.0,434.55597031123153,49.17978427107567,0.20464018072059012,0.14741473835079852,2.9795254061483023,209.9866326853184
moead,MOEA/D,5,1071986480,259.139,4000,99.0,435.70011829219385,47.97607345354013,0.1678539204633344,0.22528388382041348,5.313202728451668,207.95728758598972
moead,MOEA/D,6,2019127662,254.211,4000,99.0,422.2963223466253,48.78576386500604,0.23155717637371712,0.16163285619107867,3.74601624178079,209.2913975003529
de,Differential evolution,0,2011257708,4.636,3352,12.0,905.6742563529108,30.446681995451282,26.202126654245664,14.240723784388667,134.03629796750928,22.34823570525819
de,Differential evolution,1,498569230,4.503,3352,16.0,790.5994863108282,61.59532998834672,60.27563881244124,6.106702239401971,99.54590835202616,10.672366773782016
de,Differential evolution,2,312434459,4.564,3352,11.0,1106.8736669561795,22.599658154534694,17.859070499396065,9.644163279298818,169.36632452571226,7.242165056449487
de,Differential evolution,3,2095569173,4.668,3352,12.0,733.5338464742015,31.0935132283294,27.83193982021716,8.87660326149737,153.70000078257542,23.957307398385268
de,Differential evolution,4,1184351494,4.595,3352,11.0,1168.170595689064,34.51609079566875,31.299572252338038,9.661189592364444,144.66848001230673,15.58479951208776
de,Differential evolution,5,254621953,4.523,3352,13.0,1052.7201386477122,43.79114389185687,40.84616455321463,8.083746062782948,118.75518118620819,16.7744625343295
de,Differential evolution,6,530418760,4.514,3352,15.0,896.1042410988364,46.57248027860872,44.22530246029014,8.772456621753893,119.12156245938182,12.099754848173987
pso,Particle-swarm optimisation,0,1855177768,4.585,3352,13.0,728.7495903903382,52.03923607137159,49.97860775600806,8.08753370823954,114.10551864311628,9.785979932692404
pso,Particle-swarm optimisation,1,1782543561,4.974,3352,14.0,1047.153202243825,46.009798127051695,43.834733848252704,7.555771669946732,140.59846402406706,15.581775783780287
pso,Particle-swarm optimisation,2,1950031090,4.928,3352,13.0,904.1214781702408,25.862208756033848,21.877928926804643,14.050314512291665,204.54213091485036,10.4234608697194
pso,Particle-swarm optimisation,3,1788237769,4.878,3352,13.0,891.4469505692107,34.53059132501781,32.06325079872197,8.153987384640857,142.35224672394244,25.210619539270308
pso,Particle-swarm optimisation,4,133139651,4.702,3352,13.0,877.6091996710948,36.11751229246848,33.44191981344949,7.010918820372189,117.7036070323109,26.550056066654108
pso,Particle-swarm optimisation,5,338113284,4.775,3352,12.0,998.4983993584582,32.215024780605276,29.341411061159047,7.7668379151120455,155.515298579742,7.9079262382681765
pso,Particle-swarm optimisation,6,1454344223,4.906,3352,11.0,797.8522374247875,37.349909643840434,33.689946782124956,8.768992665903811,147.8686968513459,21.338481982981932
bayesian,Bayesian optimisation (multi-objective TPE),0,362647404,589.106,4245,245.0,2680.8835751076726,13.672017169009365,12.161684607957445,2.4601111647683456,198.91721342953073,4.284380814939755
bayesian,Bayesian optimisation (multi-objective TPE),1,164486080,583.064,4250,250.0,2401.205920263156,10.300458859048982,8.668240103050142,2.0384053338132544,199.95112946685245,14.20458541414391
bayesian,Bayesian optimisation (multi-objective TPE),2,2127399136,592.644,4203,203.0,2523.925292046325,13.335066416015495,11.985630554696455,2.9955487422688476,179.144184891735,7.397793001175145
bayesian,Bayesian optimisation (multi-objective TPE),3,2122632453,551.373,4253,253.0,2461.839117670839,10.437505050889373,9.046404685513203,2.962354324481736,203.18355720717562,9.384374539224376
bayesian,Bayesian optimisation (multi-objective TPE),4,1088714868,307.906,4212,212.0,2531.7414089235554,15.042300929828246,13.448458206962743,3.4506534123429393,206.9052759013923,7.6182583968376
bayesian,Bayesian optimisation (multi-objective TPE),5,123654486,498.04,4217,217.0,2431.873665053942,10.944058490867723,9.282890875988198,2.6113062644015383,197.65053536224505,4.4519369710747725
bayesian,Bayesian optimisation (multi-objective TPE),6,1761131017,408.394,4264,264.0,2451.8072433431103,14.957672210820697,13.646732760213265,2.090779407545135,179.54442224367548,10.585868173201192
