group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
bayesian,de,7,4.0,0.109375,7.6182583968376,15.58479951208776,-0.7142857142857143,large,0.14285714285714285,0.546875,False
bayesian,moead,7,0.0,0.015625,7.6182583968376,208.85341650098871,-1.0,large,0.0,0.234375,False
bayesian,nsga2,7,5.0,0.15625,7.6182583968376,12.992410187228243,-0.42857142857142855,medium,0.2857142857142857,0.625,False
bayesian,nsga3,7,0.0,0.015625,7.6182583968376,26.182517660862743,-1.0,large,0.0,0.234375,False
bayesian,pso,7,0.0,0.015625,7.6182583968376,15.581775783780287,-0.7142857142857143,large,0.14285714285714285,0.234375,False
de,moead,7,0.0,0.015625,15.58479951208776,208.85341650098871,-1.0,large,0.0,0.234375,False
de,nsga2,7,9.0,0.46875,15.58479951208776,12.992410187228243,0.30612244897959184,small,0.6530612244897959,0.9375,False
de,nsga3,7,1.0,0.03125,15.58479951208776,26.182517660862743,-0.7959183673469388,large,0.10204081632653061,0.234375,False
de,pso,7,11.0,0.6875,15.58479951208776,15.581775783780287,-0.02040816326530612,negligible,0.4897959183673469,0.9375,False
moead,nsga2,7,0.0,0.015625,208.85341650098871,12.992410187228243,1.0,large,1.0,0.234375,False
moead,nsga3,7,0.0,0.015625,208.85341650098871,26.182517660862743,1.0,large,1.0,0.234375,False
moead,pso,7,0.0,0.015625,208.85341650098871,15.581775783780287,1.0,large,1.0,0.234375,False
nsga2,nsga3,7,0.0,0.015625,12.992410187228243,26.182517660862743,-0.9183673469387755,large,0.04081632653061224,0.234375,False
nsga2,pso,7,6.0,0.21875,12.992410187228243,15.581775783780287,-0.3877551020408163,medium,0.30612244897959184,0.65625,False
nsga3,pso,7,3.0,0.078125,26.182517660862743,15.581775783780287,0.673469387755102,large,0.8367346938775511,0.46875,False
