group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
bayesian,de,7,0.0,0.015625,2461.839117670839,905.6742563529108,1.0,large,1.0,0.234375,False
bayesian,moead,7,0.0,0.015625,2461.839117670839,434.55597031123153,1.0,large,1.0,0.234375,False
bayesian,nsga2,7,0.0,0.015625,2461.839117670839,2851.4698855585493,-0.9591836734693877,large,0.02040816326530612,0.234375,False
bayesian,nsga3,7,2.0,0.046875,2461.839117670839,2700.272179417269,-0.7551020408163265,large,0.12244897959183673,0.234375,False
bayesian,pso,7,0.0,0.015625,2461.839117670839,891.4469505692107,1.0,large,1.0,0.234375,False
de,moead,7,0.0,0.015625,905.6742563529108,434.55597031123153,1.0,large,1.0,0.234375,False
de,nsga2,7,0.0,0.015625,905.6742563529108,2851.4698855585493,-1.0,large,0.0,0.234375,False
de,nsga3,7,0.0,0.015625,905.6742563529108,2700.272179417269,-1.0,large,0.0,0.234375,False
de,pso,7,9.0,0.46875,905.6742563529108,891.4469505692107,0.30612244897959184,small,0.6530612244897959,0.46875,False
moead,nsga2,7,0.0,0.015625,434.55597031123153,2851.4698855585493,-1.0,large,0.0,0.234375,False
moead,nsga3,7,0.0,0.015625,434.55597031123153,2700.272179417269,-1.0,large,0.0,0.234375,False
moead,pso,7,0.0,0.015625,434.55597031123153,891.4469505692107,-1.0,large,0.0,0.234375,False
nsga2,nsga3,7,6.0,0.21875,2851.4698855585493,2700.272179417269,0.42857142857142855,medium,0.7142857142857143,0.4375,False
nsga2,pso,7,0.0,0.015625,2851.4698855585493,891.4469505692107,1.0,large,1.0,0.234375,False
nsga3,pso,7,0.0,0.015625,2700.272179417269,891.4469505692107,1.0,large,1.0,0.234375,False
