group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
bayesian,de,2.857142857142857,4.285714285714286,1.4285714285714284,2.85,False,1.4285714285714284,1.0
bayesian,moead,2.857142857142857,6.0,3.142857142857143,2.85,True,3.142857142857143,0.39390951176693334
bayesian,nsga2,2.857142857142857,1.2857142857142858,1.5714285714285714,2.85,False,1.5714285714285714,1.0
bayesian,nsga3,2.857142857142857,1.8571428571428572,1.0,2.85,False,1.0,1.0
bayesian,pso,2.857142857142857,4.714285714285714,1.8571428571428572,2.85,False,1.8571428571428572,1.0
de,moead,4.285714285714286,6.0,1.7142857142857144,2.85,False,1.7142857142857144,1.0
de,nsga2,4.285714285714286,1.2857142857142858,3.0,2.85,True,3.0,0.5084228028703386
de,nsga3,4.285714285714286,1.8571428571428572,2.4285714285714284,2.85,False,2.4285714285714284,1.0
de,pso,4.285714285714286,4.714285714285714,0.4285714285714288,2.85,False,0.4285714285714288,1.0
moead,nsga2,6.0,1.2857142857142858,4.714285714285714,2.85,True,4.714285714285714,0.012863943656120647
moead,nsga3,6.0,1.8571428571428572,4.142857142857142,2.85,True,4.142857142857142,0.05093561465728369
moead,pso,6.0,4.714285714285714,1.2857142857142856,2.85,False,1.2857142857142856,1.0
nsga2,nsga3,1.2857142857142858,1.8571428571428572,0.5714285714285714,2.85,False,0.5714285714285714,1.0
nsga2,pso,1.2857142857142858,4.714285714285714,3.428571428571429,2.85,True,3.428571428571429,0.23002705557011227
nsga3,pso,1.8571428571428572,4.714285714285714,2.857142857142857,2.85,True,2.857142857142857,0.6502762689129415
