group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
bayesian,de,7,0.0,0.015625,11.985630554696456,31.29957225233804,-1.0,large,0.0,0.234375,False
bayesian,moead,7,0.0,0.015625,11.985630554696456,0.1902954361541187,1.0,large,1.0,0.234375,False
bayesian,nsga2,7,6.0,0.21875,11.985630554696456,8.868131431091445,0.5918367346938775,large,0.7959183673469388,0.65625,False
bayesian,nsga3,7,2.0,0.046875,11.985630554696456,9.573690191695558,0.5102040816326531,large,0.7551020408163265,0.234375,False
bayesian,pso,7,0.0,0.015625,11.985630554696456,33.44191981344949,-1.0,large,0.0,0.234375,False
de,moead,7,0.0,0.015625,31.29957225233804,0.1902954361541187,1.0,large,1.0,0.234375,False
de,nsga2,7,0.0,0.015625,31.29957225233804,8.868131431091445,1.0,large,1.0,0.234375,False
de,nsga3,7,0.0,0.015625,31.29957225233804,9.573690191695558,1.0,large,1.0,0.234375,False
de,pso,7,13.0,0.9375,31.29957225233804,33.44191981344949,-0.10204081632653061,negligible,0.4489795918367347,1.0,False
moead,nsga2,7,0.0,0.015625,0.1902954361541187,8.868131431091445,-1.0,large,0.0,0.234375,False
moead,nsga3,7,0.0,0.015625,0.1902954361541187,9.573690191695558,-1.0,large,0.0,0.234375,False
moead,pso,7,0.0,0.015625,0.1902954361541187,33.44191981344949,-1.0,large,0.0,0.234375,False
nsga2,nsga3,7,12.0,0.8125,8.868131431091445,9.573690191695558,-0.02040816326530612,negligible,0.4897959183673469,1.0,False
nsga2,pso,7,0.0,0.015625,8.868131431091445,33.44191981344949,-1.0,large,0.0,0.234375,False
nsga3,pso,7,0.0,0.015625,9.573690191695558,33.44191981344949,-1.0,large,0.0,0.234375,False
