group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
bayesian,de,3.4285714285714284,5.428571428571429,2.0000000000000004,2.85,False,2.0000000000000004,1.0
bayesian,moead,3.4285714285714284,1.0,2.4285714285714284,2.85,False,2.4285714285714284,1.0
bayesian,nsga2,3.4285714285714284,3.0,0.4285714285714284,2.85,False,0.4285714285714284,1.0
bayesian,nsga3,3.4285714285714284,2.5714285714285716,0.8571428571428568,2.85,False,0.8571428571428568,1.0
bayesian,pso,3.4285714285714284,5.571428571428571,2.142857142857143,2.85,False,2.142857142857143,1.0
de,moead,5.428571428571429,1.0,4.428571428571429,2.85,True,4.428571428571429,0.026089776706482715
de,nsga2,5.428571428571429,3.0,2.428571428571429,2.85,False,2.428571428571429,1.0
de,nsga3,5.428571428571429,2.5714285714285716,2.857142857142857,2.85,True,2.857142857142857,0.6502762689129415
de,pso,5.428571428571429,5.571428571428571,0.14285714285714235,2.85,False,0.14285714285714235,1.0
moead,nsga2,1.0,3.0,2.0,2.85,False,2.0,1.0
moead,nsga3,1.0,2.5714285714285716,1.5714285714285716,2.85,False,1.5714285714285716,1.0
moead,pso,1.0,5.571428571428571,4.571428571428571,2.85,True,4.571428571428571,0.018407584295985213
nsga2,nsga3,3.0,2.5714285714285716,0.4285714285714284,2.85,False,0.4285714285714284,1.0
nsga2,pso,3.0,5.571428571428571,2.571428571428571,2.85,False,2.571428571428571,1.0
nsga3,pso,2.5714285714285716,5.571428571428571,2.9999999999999996,2.85,True,2.9999999999999996,0.5084228028703386
