group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
bayesian,de,2.142857142857143,4.571428571428571,2.4285714285714284,2.85,False,2.4285714285714284,1.0
bayesian,moead,2.142857142857143,5.714285714285714,3.5714285714285716,2.85,True,3.5714285714285716,0.1733591949648794
bayesian,nsga2,2.142857142857143,1.7142857142857142,0.4285714285714286,2.85,False,0.4285714285714286,1.0
bayesian,nsga3,2.142857142857143,2.142857142857143,0.0,2.85,False,0.0,1.0
bayesian,pso,2.142857142857143,4.714285714285714,2.5714285714285716,2.85,False,2.5714285714285716,1.0
de,moead,4.571428571428571,5.714285714285714,1.1428571428571432,2.85,False,1.1428571428571432,1.0
de,nsga2,4.571428571428571,1.7142857142857142,2.8571428571428568,2.85,True,2.8571428571428568,0.6502762689129415
de,nsga3,4.571428571428571,2.142857142857143,2.4285714285714284,2.85,False,2.4285714285714284,1.0
de,pso,4.571428571428571,4.714285714285714,0.14285714285714324,2.85,False,0.14285714285714324,1.0
moead,nsga2,5.714285714285714,1.7142857142857142,4.0,2.85,True,4.0,0.07016602471570765
moead,nsga3,5.714285714285714,2.142857142857143,3.5714285714285716,2.85,True,3.5714285714285716,0.1733591949648794
moead,pso,5.714285714285714,4.714285714285714,1.0,2.85,False,1.0,1.0
nsga2,nsga3,1.7142857142857142,2.142857142857143,0.4285714285714286,2.85,False,0.4285714285714286,1.0
nsga2,pso,1.7142857142857142,4.714285714285714,3.0,2.85,True,3.0,0.5084228028703386
nsga3,pso,2.142857142857143,4.714285714285714,2.5714285714285716,2.85,False,2.5714285714285716,1.0
