group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
bayesian,de,7,0.0,0.015625,245.0,12.0,1.0,large,1.0,0.234375,False
bayesian,moead,7,0.0,0.015625,245.0,99.0,1.0,large,1.0,0.234375,False
bayesian,nsga2,7,0.0,0.015625,245.0,100.0,1.0,large,1.0,0.234375,False
bayesian,nsga3,7,0.0,0.015625,245.0,40.0,1.0,large,1.0,0.234375,False
bayesian,pso,7,0.0,0.015625,245.0,13.0,1.0,large,1.0,0.234375,False
de,moead,7,0.0,0.015625,12.0,99.0,-1.0,large,0.0,0.234375,False
de,nsga2,7,0.0,0.015625,12.0,100.0,-1.0,large,0.0,0.234375,False
de,nsga3,7,0.0,0.015625,12.0,40.0,-1.0,large,0.0,0.234375,False
de,pso,7,14.0,1.0,12.0,13.0,-0.10204081632653061,negligible,0.4489795918367347,1.0,False
moead,nsga2,7,0.0,0.0625,99.0,100.0,-0.7142857142857143,large,0.14285714285714285,0.234375,False
moead,nsga3,7,0.0,0.015625,99.0,40.0,1.0,large,1.0,0.234375,False
moead,pso,7,0.0,0.015625,99.0,13.0,1.0,large,1.0,0.234375,False
nsga2,nsga3,7,0.0,0.015625,100.0,40.0,1.0,large,1.0,0.234375,False
nsga2,pso,7,0.0,0.015625,100.0,13.0,1.0,large,1.0,0.234375,False
nsga3,pso,7,0.0,0.015625,40.0,13.0,1.0,large,1.0,0.234375,False
