indicator,group,mean_rank,rank_position,critical_difference
hypervolume,nsga2,1.2857142857142858,1,2.85
hypervolume,nsga3,1.8571428571428572,2,2.85
hypervolume,bayesian,2.857142857142857,3,2.85
hypervolume,de,4.285714285714286,4,2.85
hypervolume,pso,4.714285714285714,5,2.85
hypervolume,moead,6.0,6,2.85
igd,nsga2,1.7142857142857142,1,2.85
igd,bayesian,2.142857142857143,2,2.85
igd,nsga3,2.142857142857143,3,2.85
igd,de,4.571428571428571,4,2.85
igd,pso,4.714285714285714,5,2.85
igd,moead,5.714285714285714,6,2.85
igd_plus,moead,1.0,1,2.85
igd_plus,nsga3,2.5714285714285716,2,2.85
igd_plus,nsga2,3.0,3,2.85
igd_plus,bayesian,3.4285714285714284,4,2.85
igd_plus,de,5.428571428571429,5,2.85
igd_plus,pso,5.571428571428571,6,2.85
spacing,moead,1.0,1,2.85
spacing,bayesian,2.142857142857143,2,2.85
spacing,nsga2,3.0,3,2.85
spacing,nsga3,4.0,4,2.85
spacing,pso,5.285714285714286,5,2.85
spacing,de,5.571428571428571,6,2.85
spread,bayesian,1.5714285714285714,1,2.85
spread,nsga2,1.8571428571428572,2,2.85
spread,nsga3,3.4285714285714284,3,2.85
spread,pso,3.857142857142857,4,2.85
spread,de,4.285714285714286,5,2.85
spread,moead,6.0,6,2.85
epsilon,bayesian,1.4285714285714286,1,2.85
epsilon,nsga2,2.5714285714285716,2,2.85
epsilon,de,2.7142857142857144,3,2.85
epsilon,pso,3.7142857142857144,4,2.85
epsilon,nsga3,4.571428571428571,5,2.85
epsilon,moead,6.0,6,2.85
n_solutions,bayesian,1.0,1,2.85
n_solutions,nsga2,2.142857142857143,2,2.85
n_solutions,moead,2.857142857142857,3,2.85
n_solutions,nsga3,4.0,4,2.85
n_solutions,pso,5.428571428571429,5,2.85
n_solutions,de,5.571428571428571,6,2.85
