group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
bayesian,de,7,0.0,0.015625,2.6113062644015383,8.87660326149737,-1.0,large,0.0,0.234375,False
bayesian,moead,7,0.0,0.015625,2.6113062644015383,0.2040544783817388,1.0,large,1.0,0.234375,False
bayesian,nsga2,7,5.0,0.15625,2.6113062644015383,3.374947316351543,-0.5510204081632653,large,0.22448979591836735,0.3125,False
bayesian,nsga3,7,0.0,0.015625,2.6113062644015383,6.093824716887657,-0.9591836734693877,large,0.02040816326530612,0.234375,False
bayesian,pso,7,0.0,0.015625,2.6113062644015383,8.08753370823954,-1.0,large,0.0,0.234375,False
de,moead,7,0.0,0.015625,8.87660326149737,0.2040544783817388,1.0,large,1.0,0.234375,False
de,nsga2,7,0.0,0.015625,8.87660326149737,3.374947316351543,1.0,large,1.0,0.234375,False
de,nsga3,7,1.0,0.03125,8.87660326149737,6.093824716887657,0.8775510204081632,large,0.9387755102040817,0.234375,False
de,pso,7,10.0,0.578125,8.87660326149737,8.08753370823954,0.3877551020408163,medium,0.6938775510204082,0.578125,False
moead,nsga2,7,0.0,0.015625,0.2040544783817388,3.374947316351543,-1.0,large,0.0,0.234375,False
moead,nsga3,7,0.0,0.015625,0.2040544783817388,6.093824716887657,-1.0,large,0.0,0.234375,False
moead,pso,7,0.0,0.015625,0.2040544783817388,8.08753370823954,-1.0,large,0.0,0.234375,False
nsga2,nsga3,7,1.0,0.03125,3.374947316351543,6.093824716887657,-0.8775510204081632,large,0.061224489795918366,0.234375,False
nsga2,pso,7,0.0,0.015625,3.374947316351543,8.08753370823954,-1.0,large,0.0,0.234375,False
nsga3,pso,7,0.0,0.015625,6.093824716887657,8.08753370823954,-1.0,large,0.0,0.234375,False
