group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
bayesian,de,2.142857142857143,5.571428571428571,3.4285714285714284,2.85,True,3.4285714285714284,0.2300270555701156
bayesian,moead,2.142857142857143,1.0,1.1428571428571428,2.85,False,1.1428571428571428,1.0
bayesian,nsga2,2.142857142857143,3.0,0.8571428571428572,2.85,False,0.8571428571428572,1.0
bayesian,nsga3,2.142857142857143,4.0,1.8571428571428572,2.85,False,1.8571428571428572,1.0
bayesian,pso,2.142857142857143,5.285714285714286,3.142857142857143,2.85,True,3.142857142857143,0.39390951176693334
de,moead,5.571428571428571,1.0,4.571428571428571,2.85,True,4.571428571428571,0.018407584295985213
de,nsga2,5.571428571428571,3.0,2.571428571428571,2.85,False,2.571428571428571,1.0
de,nsga3,5.571428571428571,4.0,1.5714285714285712,2.85,False,1.5714285714285712,1.0
de,pso,5.571428571428571,5.285714285714286,0.2857142857142856,2.85,False,0.2857142857142856,1.0
moead,nsga2,1.0,3.0,2.0,2.85,False,2.0,1.0
moead,nsga3,1.0,4.0,3.0,2.85,True,3.0,0.5084228028703386
moead,pso,1.0,5.285714285714286,4.285714285714286,2.85,True,4.285714285714286,0.03662751630415184
nsga2,nsga3,3.0,4.0,1.0,2.85,False,1.0,1.0
nsga2,pso,3.0,5.285714285714286,2.2857142857142856,2.85,False,2.2857142857142856,1.0
nsga3,pso,4.0,5.285714285714286,1.2857142857142856,2.85,False,1.2857142857142856,1.0
