group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
bayesian,de,7,0.0,0.015625,198.91721342953076,134.03629796750928,1.0,large,1.0,0.234375,False
bayesian,moead,7,0.0,0.015625,198.91721342953076,4.207647796635028,1.0,large,1.0,0.234375,False
bayesian,nsga2,7,13.0,0.9375,198.91721342953076,195.2290652124641,0.10204081632653061,negligible,0.5510204081632653,0.9375,False
bayesian,nsga3,7,2.0,0.046875,198.91721342953076,167.8699229903949,0.8367346938775511,large,0.9183673469387755,0.234375,False
bayesian,pso,7,1.0,0.03125,198.91721342953076,142.35224672394244,0.7551020408163265,large,0.8775510204081632,0.234375,False
de,moead,7,0.0,0.015625,134.03629796750928,4.207647796635028,1.0,large,1.0,0.234375,False
de,nsga2,7,0.0,0.015625,134.03629796750928,195.2290652124641,-1.0,large,0.0,0.234375,False
de,nsga3,7,3.0,0.078125,134.03629796750928,167.8699229903949,-0.7142857142857143,large,0.14285714285714285,0.3125,False
de,pso,7,6.0,0.21875,134.03629796750928,142.35224672394244,-0.14285714285714285,negligible,0.42857142857142855,0.65625,False
moead,nsga2,7,0.0,0.015625,4.207647796635028,195.2290652124641,-1.0,large,0.0,0.234375,False
moead,nsga3,7,0.0,0.015625,4.207647796635028,167.8699229903949,-1.0,large,0.0,0.234375,False
moead,pso,7,0.0,0.015625,4.207647796635028,142.35224672394244,-1.0,large,0.0,0.234375,False
nsga2,nsga3,7,0.0,0.015625,195.2290652124641,167.8699229903949,0.9183673469387755,large,0.9591836734693877,0.234375,False
nsga2,pso,7,1.0,0.03125,195.2290652124641,142.35224672394244,0.7551020408163265,large,0.8775510204081632,0.234375,False
nsga3,pso,7,6.0,0.21875,167.8699229903949,142.35224672394244,0.5918367346938775,large,0.7959183673469388,0.65625,False
