group,n,mean,std,median,iqr,min,max,mean_ci_low,mean_ci_high
catboost,5,0.9783240785625619,0.001794341793214751,0.9787284311117768,0.0013670332821980047,0.9753360092528132,0.979831848363355,0.9767464263686609,0.9794966530411099
elasticnet,5,0.8357137079514849,0.0070842057025495165,0.8330632772340698,0.0010617823457297337,0.830844852121121,0.8482402197696426,0.8318677640173187,0.8421694427554135
extra_trees,5,0.9401382966023653,0.002391482606295488,0.9399733079088516,0.003537857825369639,0.9370606067826254,0.9427714251079984,0.9382885613722168,0.9419519686250968
gpr,5,0.9557230912452909,0.002545588333811819,0.9548302217410236,0.0027669848207024783,0.9535644916310488,0.9597437331328024,0.9539338459807997,0.9578835376601195
hist_gbr,5,0.973757049892295,0.0028296804004488262,0.9741257613392432,0.0008412166163656032,0.9693525242915414,0.97721726537126,0.9712618191106221,0.975880359674911
knn,5,0.8525784716596931,0.004797604114509695,0.8522697709285,0.003961904271344352,0.8481591075020625,0.8603265847770885,0.8493228435194004,0.8564674041339002
lightgbm,5,0.9745426594924089,0.0029589981060822077,0.9746495616650284,0.0029648054908807397,0.9702160844960808,0.9779428321051716,0.9721106145368011,0.976736416295692
mlp,5,0.9890094174210002,0.0013767447666385912,0.9897448610851748,0.0018703995917067617,0.987121405739052,0.990318894987062,0.9878452285021737,0.9900229951889434
mlp_deep,5,0.9896102755167137,0.0026804524333930314,0.9894424944580688,0.0036502860174449925,0.9863838422211652,0.9930218490570638,0.987552616946045,0.9916679340873824
poly2_ridge,5,0.961122588732187,0.004466903196224709,0.9595676073554456,0.006113261225655253,0.9559569731756246,0.9667263066718984,0.9577460697878012,0.9647081952947323
random_forest,5,0.9426084060255808,0.00230965865085335,0.9427395152135938,0.0021457246999959656,0.9403420555296522,0.94619101119807,0.940959122955109,0.9444248821102199
ridge,5,0.8357808962810864,0.00730453411164061,0.8325944408939769,0.001400563498607843,0.83111501377816,0.8487252345719882,0.8319667741100737,0.8422729171007838
svr_rbf,5,0.9417210741151539,0.0037922947158944404,0.941409509830242,0.005560343719265615,0.9380893949645024,0.9470018524776094,0.9388265138686794,0.9446220341472488
xgboost,5,0.9724623807388216,0.003941308653228476,0.9719384772833696,0.004800820765591407,0.9668572202587647,0.9765706072073288,0.9695034519441877,0.9753652222816527
