group,n,statistic,p_value,normal_at_alpha
catboost,5,0.8548653223251765,0.2103927559982149,True
elasticnet,5,0.6957280060257717,0.008635733213314501,False
extra_trees,5,0.9449828725729857,0.7013460044909865,True
gpr,5,0.8795795488704696,0.3074100539713328,True
hist_gbr,5,0.920672482069998,0.534287279739544,True
knn,5,0.8882560745292551,0.34841005812633047,True
lightgbm,5,0.977515139550661,0.9209094704324019,True
mlp,5,0.8756543792514981,0.29008051270518453,True
mlp_deep,5,0.974795045051566,0.9050402590576895,True
poly2_ridge,5,0.9338398557212124,0.6227790491433021,True
random_forest,5,0.9095002474048665,0.46459299483431693,True
ridge,5,0.679496355498944,0.005772474122441514,False
svr_rbf,5,0.9176571710658409,0.5149400232872005,True
xgboost,5,0.9331599555001777,0.6180719849132574,True
