group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
catboost,elasticnet,5,0.0,0.0625,0.9787284311117768,0.8330632772340698,1.0,large,1.0,1.0,False
catboost,extra_trees,5,0.0,0.0625,0.9787284311117768,0.9399733079088516,1.0,large,1.0,1.0,False
catboost,gpr,5,0.0,0.0625,0.9787284311117768,0.9548302217410236,1.0,large,1.0,1.0,False
catboost,hist_gbr,5,0.0,0.0625,0.9787284311117768,0.9741257613392432,0.92,large,0.96,1.0,False
catboost,knn,5,0.0,0.0625,0.9787284311117768,0.8522697709285,1.0,large,1.0,1.0,False
catboost,lightgbm,5,0.0,0.0625,0.9787284311117768,0.9746495616650284,0.84,large,0.92,1.0,False
catboost,mlp,5,0.0,0.0625,0.9787284311117768,0.9897448610851748,-1.0,large,0.0,1.0,False
catboost,mlp_deep,5,0.0,0.0625,0.9787284311117768,0.9894424944580688,-1.0,large,0.0,1.0,False
catboost,poly2_ridge,5,0.0,0.0625,0.9787284311117768,0.9595676073554456,1.0,large,1.0,1.0,False
catboost,random_forest,5,0.0,0.0625,0.9787284311117768,0.9427395152135938,1.0,large,1.0,1.0,False
catboost,ridge,5,0.0,0.0625,0.9787284311117768,0.8325944408939769,1.0,large,1.0,1.0,False
catboost,svr_rbf,5,0.0,0.0625,0.9787284311117768,0.941409509830242,1.0,large,1.0,1.0,False
catboost,xgboost,5,0.0,0.0625,0.9787284311117768,0.9719384772833696,0.84,large,0.92,1.0,False
elasticnet,extra_trees,5,0.0,0.0625,0.8330632772340698,0.9399733079088516,-1.0,large,0.0,1.0,False
elasticnet,gpr,5,0.0,0.0625,0.8330632772340698,0.9548302217410236,-1.0,large,0.0,1.0,False
elasticnet,hist_gbr,5,0.0,0.0625,0.8330632772340698,0.9741257613392432,-1.0,large,0.0,1.0,False
elasticnet,knn,5,0.0,0.0625,0.8330632772340698,0.8522697709285,-0.92,large,0.04,1.0,False
elasticnet,lightgbm,5,0.0,0.0625,0.8330632772340698,0.9746495616650284,-1.0,large,0.0,1.0,False
elasticnet,mlp,5,0.0,0.0625,0.8330632772340698,0.9897448610851748,-1.0,large,0.0,1.0,False
elasticnet,mlp_deep,5,0.0,0.0625,0.8330632772340698,0.9894424944580688,-1.0,large,0.0,1.0,False
elasticnet,poly2_ridge,5,0.0,0.0625,0.8330632772340698,0.9595676073554456,-1.0,large,0.0,1.0,False
elasticnet,random_forest,5,0.0,0.0625,0.8330632772340698,0.9427395152135938,-1.0,large,0.0,1.0,False
elasticnet,ridge,5,5.0,0.625,0.8330632772340698,0.8325944408939769,0.04,negligible,0.52,1.0,False
elasticnet,svr_rbf,5,0.0,0.0625,0.8330632772340698,0.941409509830242,-1.0,large,0.0,1.0,False
elasticnet,xgboost,5,0.0,0.0625,0.8330632772340698,0.9719384772833696,-1.0,large,0.0,1.0,False
extra_trees,gpr,5,0.0,0.0625,0.9399733079088516,0.9548302217410236,-1.0,large,0.0,1.0,False
extra_trees,hist_gbr,5,0.0,0.0625,0.9399733079088516,0.9741257613392432,-1.0,large,0.0,1.0,False
extra_trees,knn,5,0.0,0.0625,0.9399733079088516,0.8522697709285,1.0,large,1.0,1.0,False
extra_trees,lightgbm,5,0.0,0.0625,0.9399733079088516,0.9746495616650284,-1.0,large,0.0,1.0,False
extra_trees,mlp,5,0.0,0.0625,0.9399733079088516,0.9897448610851748,-1.0,large,0.0,1.0,False
extra_trees,mlp_deep,5,0.0,0.0625,0.9399733079088516,0.9894424944580688,-1.0,large,0.0,1.0,False
extra_trees,poly2_ridge,5,0.0,0.0625,0.9399733079088516,0.9595676073554456,-1.0,large,0.0,1.0,False
extra_trees,random_forest,5,0.0,0.0625,0.9399733079088516,0.9427395152135938,-0.6,large,0.2,1.0,False
extra_trees,ridge,5,0.0,0.0625,0.9399733079088516,0.8325944408939769,1.0,large,1.0,1.0,False
extra_trees,svr_rbf,5,4.0,0.4375,0.9399733079088516,0.941409509830242,-0.2,small,0.4,1.0,False
extra_trees,xgboost,5,0.0,0.0625,0.9399733079088516,0.9719384772833696,-1.0,large,0.0,1.0,False
gpr,hist_gbr,5,0.0,0.0625,0.9548302217410236,0.9741257613392432,-1.0,large,0.0,1.0,False
gpr,knn,5,0.0,0.0625,0.9548302217410236,0.8522697709285,1.0,large,1.0,1.0,False
gpr,lightgbm,5,0.0,0.0625,0.9548302217410236,0.9746495616650284,-1.0,large,0.0,1.0,False
gpr,mlp,5,0.0,0.0625,0.9548302217410236,0.9897448610851748,-1.0,large,0.0,1.0,False
gpr,mlp_deep,5,0.0,0.0625,0.9548302217410236,0.9894424944580688,-1.0,large,0.0,1.0,False
gpr,poly2_ridge,5,0.0,0.0625,0.9548302217410236,0.9595676073554456,-0.68,large,0.16,1.0,False
gpr,random_forest,5,0.0,0.0625,0.9548302217410236,0.9427395152135938,1.0,large,1.0,1.0,False
gpr,ridge,5,0.0,0.0625,0.9548302217410236,0.8325944408939769,1.0,large,1.0,1.0,False
gpr,svr_rbf,5,0.0,0.0625,0.9548302217410236,0.941409509830242,1.0,large,1.0,1.0,False
gpr,xgboost,5,0.0,0.0625,0.9548302217410236,0.9719384772833696,-1.0,large,0.0,1.0,False
hist_gbr,knn,5,0.0,0.0625,0.9741257613392432,0.8522697709285,1.0,large,1.0,1.0,False
hist_gbr,lightgbm,5,1.0,0.125,0.9741257613392432,0.9746495616650284,-0.2,small,0.4,1.0,False
hist_gbr,mlp,5,0.0,0.0625,0.9741257613392432,0.9897448610851748,-1.0,large,0.0,1.0,False
hist_gbr,mlp_deep,5,0.0,0.0625,0.9741257613392432,0.9894424944580688,-1.0,large,0.0,1.0,False
hist_gbr,poly2_ridge,5,0.0,0.0625,0.9741257613392432,0.9595676073554456,1.0,large,1.0,1.0,False
hist_gbr,random_forest,5,0.0,0.0625,0.9741257613392432,0.9427395152135938,1.0,large,1.0,1.0,False
hist_gbr,ridge,5,0.0,0.0625,0.9741257613392432,0.8325944408939769,1.0,large,1.0,1.0,False
hist_gbr,svr_rbf,5,0.0,0.0625,0.9741257613392432,0.941409509830242,1.0,large,1.0,1.0,False
hist_gbr,xgboost,5,3.0,0.3125,0.9741257613392432,0.9719384772833696,0.2,small,0.6,1.0,False
