group,n,mean,std,median,iqr,min,max,mean_ci_low,mean_ci_high
catboost,5,0.7971678499044638,0.009093616722484477,0.7962684403552283,0.010193794044714988,0.7866691421179206,0.8100769697377648,0.7904475255715517,0.8046111213049396
elasticnet,5,0.46293035699312474,0.009071883270644772,0.4638105130463223,0.009879775199742313,0.4534548404261511,0.4762900616608388,0.45629217822215296,0.46999331096296554
extra_trees,5,0.6933317487257812,0.007917774932622253,0.6944372581855018,0.010975450257611707,0.6830450721502939,0.7024693397531823,0.6871684579981621,0.6994116922978812
gpr,5,0.6715919033851792,0.011278031243944435,0.6757156583630122,0.013919577626573698,0.6552581953016026,0.6828918689039551,0.6627507126348278,0.6799025536309644
hist_gbr,5,0.7755886409716359,0.009491411465470084,0.7802081625567914,0.012994330171416157,0.762606568634745,0.7848433223678868,0.7676209714405984,0.7826348577525476
knn,5,0.5388388758769785,0.014112334903237515,0.540090770771692,0.00921600412282575,0.5154906892380521,0.5516639069679781,0.5269290693501694,0.5480825082649983
lightgbm,5,0.7848575061691183,0.007765656758798309,0.7838229740972971,0.013610643581072668,0.7762368618202325,0.793376022882342,0.7787075452404819,0.7910074670977547
mlp,5,0.9059337241474215,0.013256663104532222,0.901718988067814,0.016371042206190456,0.8889605570415237,0.921693336545893,0.8961129598053093,0.916475149743911
mlp_deep,5,0.9114020793385063,0.012269438645283553,0.9167861882359531,0.010483411590385239,0.8918170985483946,0.9228401222794044,0.9011666411887571,0.9197033664027853
poly2_ridge,5,0.6836711877416499,0.005335742943526356,0.6851913690972452,0.0034995686539813775,0.6758318950445705,0.6903001879495585,0.6795756846656404,0.6875716783854736
random_forest,5,0.6802344808721479,0.011650342370547786,0.6780450744091031,0.01741217045564991,0.6650254910199787,0.6920517974396552,0.6713467854970825,0.689122176247213
ridge,5,0.4629747585025844,0.009180315767071262,0.4638090341595009,0.009889256043496608,0.4532632744337057,0.4764832950276241,0.4562216024386417,0.4701536147949927
svr_rbf,5,0.6614780612230143,0.017068477947883742,0.6709845818233775,0.026687040497455294,0.640887274399415,0.6781836993593049,0.647999314746244,0.6742747543144835
xgboost,5,0.7785308423704091,0.011723283826729795,0.775595596141841,0.014918341179328887,0.7660362277210453,0.7950575036115679,0.7697429189564389,0.7882274790424589
