group,n,statistic,p_value,normal_at_alpha
catboost,5,0.9814912047560792,0.9424374096106966,True
elasticnet,5,0.9368747454291007,0.6439357077515155,True
extra_trees,5,0.9653978134501193,0.8449751512930772,True
gpr,5,0.9277588831540439,0.5811693413540715,True
hist_gbr,5,0.8907328757299144,0.3608018210663233,True
knn,5,0.8660584176370881,0.25082749843716257,True
lightgbm,5,0.8929438474680428,0.37212287824508716,True
mlp,5,0.9400864307095231,0.6665493645823066,True
mlp_deep,5,0.8899588887919264,0.35689650226472114,True
poly2_ridge,5,0.9609134629593892,0.8143296721402316,True
random_forest,5,0.9049230670934677,0.4376904251831356,True
ridge,5,0.9419564447773467,0.6798016528305677,True
svr_rbf,5,0.8369322192275903,0.15661908241465777,True
xgboost,5,0.9530356345357568,0.7588474520021928,True
