group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
catboost,elasticnet,5,0.0,0.0625,0.7962684403552283,0.4638105130463223,1.0,large,1.0,1.0,False
catboost,extra_trees,5,0.0,0.0625,0.7962684403552283,0.6944372581855018,1.0,large,1.0,1.0,False
catboost,gpr,5,0.0,0.0625,0.7962684403552283,0.6757156583630122,1.0,large,1.0,1.0,False
catboost,hist_gbr,5,0.0,0.0625,0.7962684403552283,0.7802081625567914,1.0,large,1.0,1.0,False
catboost,knn,5,0.0,0.0625,0.7962684403552283,0.540090770771692,1.0,large,1.0,1.0,False
catboost,lightgbm,5,0.0,0.0625,0.7962684403552283,0.7838229740972971,0.68,large,0.84,1.0,False
catboost,mlp,5,0.0,0.0625,0.7962684403552283,0.901718988067814,-1.0,large,0.0,1.0,False
catboost,mlp_deep,5,0.0,0.0625,0.7962684403552283,0.9167861882359531,-1.0,large,0.0,1.0,False
catboost,poly2_ridge,5,0.0,0.0625,0.7962684403552283,0.6851913690972452,1.0,large,1.0,1.0,False
catboost,random_forest,5,0.0,0.0625,0.7962684403552283,0.6780450744091031,1.0,large,1.0,1.0,False
catboost,ridge,5,0.0,0.0625,0.7962684403552283,0.4638090341595009,1.0,large,1.0,1.0,False
catboost,svr_rbf,5,0.0,0.0625,0.7962684403552283,0.6709845818233775,1.0,large,1.0,1.0,False
catboost,xgboost,5,0.0,0.0625,0.7962684403552283,0.775595596141841,0.84,large,0.92,1.0,False
elasticnet,extra_trees,5,0.0,0.0625,0.4638105130463223,0.6944372581855018,-1.0,large,0.0,1.0,False
elasticnet,gpr,5,0.0,0.0625,0.4638105130463223,0.6757156583630122,-1.0,large,0.0,1.0,False
elasticnet,hist_gbr,5,0.0,0.0625,0.4638105130463223,0.7802081625567914,-1.0,large,0.0,1.0,False
elasticnet,knn,5,0.0,0.0625,0.4638105130463223,0.540090770771692,-1.0,large,0.0,1.0,False
elasticnet,lightgbm,5,0.0,0.0625,0.4638105130463223,0.7838229740972971,-1.0,large,0.0,1.0,False
elasticnet,mlp,5,0.0,0.0625,0.4638105130463223,0.901718988067814,-1.0,large,0.0,1.0,False
