group,n,mean,std,median,iqr,min,max,mean_ci_low,mean_ci_high
catboost,5,0.9701958352582654,0.002582134699564778,0.9696198548881412,0.003119306774490238,0.9669114111409852,0.973435049212602,0.9682672462890439,0.9722636017374808
elasticnet,5,0.8634679211191261,0.0023753550331487585,0.8646281502295119,0.003442341930498083,0.8602766439854863,0.8657237454948677,0.8615081995684445,0.8652458098071019
extra_trees,5,0.9243489829032517,0.004526254358048722,0.9255674820841046,0.0018088832441411906,0.9170983370864592,0.9294285037245368,0.9204859950855173,0.9275547694892448
gpr,5,0.9350472310538912,0.00427738116085548,0.937385440385905,0.006285792928547473,0.929083989493608,0.9385679480822255,0.9314901491577083,0.9382011813573241
hist_gbr,5,0.964000253356995,0.0019233069447681897,0.9629525990842192,0.0030278518619788475,0.9621923934187586,0.966396291505381,0.9625539033672748,0.9655297714585519
knn,5,0.7906359913996317,0.0029033120749937455,0.7913666210862951,0.0018614251551209993,0.7857510004674411,0.7931266929695572,0.7880377287754377,0.7924834149310791
lightgbm,5,0.9658112386483071,0.002495639359604438,0.9653447429650954,0.004018575962539184,0.9631697450277436,0.968916601211626,0.9638581522190227,0.9677643250775914
mlp,5,0.9637444287582418,0.002492151798198331,0.9639540304401208,0.003344245922832001,0.9608015892391168,0.9669731013703852,0.9618412771474218,0.9656475803690621
mlp_deep,5,0.9736180336439448,0.0026819652980790815,0.9731277120086436,0.001107917100661271,0.9704830695933456,0.977849561897366,0.9716158067000812,0.9758874703021192
poly2_ridge,5,0.9403814149219327,0.0035001410373590755,0.9422696978547322,0.0060904564043936515,0.936085015413068,0.9432656983525204,0.9377083418457094,0.9430202150595717
random_forest,5,0.9279660392747656,0.003308997793507281,0.9289268012295716,0.0029941805079034545,0.9233624078157924,0.9320986986977808,0.9255881651813042,0.9303514405213832
ridge,5,0.8644698126770001,0.0022537795495387427,0.8657363573592752,0.0038212886328061746,0.8617735036953712,0.8664654661510391,0.8627388494530855,0.866172462894695
svr_rbf,5,0.9273819062452521,0.0032354850322340043,0.926919559863402,0.004573878440507939,0.9240399254969438,0.9318339719931537,0.9249083212579086,0.9299235979704443
xgboost,5,0.9638176662002017,0.0026967373185144868,0.964416433748768,0.0025488039674287366,0.9598689103199048,0.9669590701089558,0.9615360979847474,0.9657454589514977
