group,n,statistic,p_value,normal_at_alpha
catboost,5,0.9709638648206543,0.8814032668719054,True
elasticnet,5,0.8778845318945624,0.2998344176167139,True
extra_trees,5,0.9091912894201108,0.4627457931125064,True
gpr,5,0.8357160180377484,0.15342417338215963,True
hist_gbr,5,0.8397132489355146,0.16413081947569502,True
knn,5,0.8493667434781373,0.19252516911595635,True
lightgbm,5,0.9207855239763851,0.5350199032104959,True
mlp,5,0.9700105697040444,0.8753214529147493,True
mlp_deep,5,0.926651623785558,0.5737217250441523,True
poly2_ridge,5,0.7952320408912332,0.07405677129304722,True
random_forest,5,0.9733327189742671,0.8961811378390776,True
ridge,5,0.8036096188793027,0.08668521799721185,True
svr_rbf,5,0.943101724350605,0.6879425986584927,True
xgboost,5,0.9757135508533764,0.9104917110490358,True
