group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
catboost,elasticnet,5,0.0,0.0625,0.9696198548881412,0.8646281502295119,1.0,large,1.0,1.0,False
catboost,extra_trees,5,0.0,0.0625,0.9696198548881412,0.9255674820841046,1.0,large,1.0,1.0,False
catboost,gpr,5,0.0,0.0625,0.9696198548881412,0.937385440385905,1.0,large,1.0,1.0,False
catboost,hist_gbr,5,0.0,0.0625,0.9696198548881412,0.9629525990842192,1.0,large,1.0,1.0,False
catboost,knn,5,0.0,0.0625,0.9696198548881412,0.7913666210862951,1.0,large,1.0,1.0,False
catboost,lightgbm,5,0.0,0.0625,0.9696198548881412,0.9653447429650954,0.84,large,0.92,1.0,False
catboost,mlp,5,0.0,0.0625,0.9696198548881412,0.9639540304401208,0.92,large,0.96,1.0,False
catboost,mlp_deep,5,0.0,0.0625,0.9696198548881412,0.9731277120086436,-0.68,large,0.16,1.0,False
catboost,poly2_ridge,5,0.0,0.0625,0.9696198548881412,0.9422696978547322,1.0,large,1.0,1.0,False
catboost,random_forest,5,0.0,0.0625,0.9696198548881412,0.9289268012295716,1.0,large,1.0,1.0,False
catboost,ridge,5,0.0,0.0625,0.9696198548881412,0.8657363573592752,1.0,large,1.0,1.0,False
catboost,svr_rbf,5,0.0,0.0625,0.9696198548881412,0.926919559863402,1.0,large,1.0,1.0,False
catboost,xgboost,5,0.0,0.0625,0.9696198548881412,0.964416433748768,0.92,large,0.96,1.0,False
elasticnet,extra_trees,5,0.0,0.0625,0.8646281502295119,0.9255674820841046,-1.0,large,0.0,1.0,False
elasticnet,gpr,5,0.0,0.0625,0.8646281502295119,0.937385440385905,-1.0,large,0.0,1.0,False
elasticnet,hist_gbr,5,0.0,0.0625,0.8646281502295119,0.9629525990842192,-1.0,large,0.0,1.0,False
elasticnet,knn,5,0.0,0.0625,0.8646281502295119,0.7913666210862951,1.0,large,1.0,1.0,False
elasticnet,lightgbm,5,0.0,0.0625,0.8646281502295119,0.9653447429650954,-1.0,large,0.0,1.0,False
elasticnet,mlp,5,0.0,0.0625,0.8646281502295119,0.9639540304401208,-1.0,large,0.0,1.0,False
elasticnet,mlp_deep,5,0.0,0.0625,0.8646281502295119,0.9731277120086436,-1.0,large,0.0,1.0,False
elasticnet,poly2_ridge,5,0.0,0.0625,0.8646281502295119,0.9422696978547322,-1.0,large,0.0,1.0,False
elasticnet,random_forest,5,0.0,0.0625,0.8646281502295119,0.9289268012295716,-1.0,large,0.0,1.0,False
elasticnet,ridge,5,0.0,0.0625,0.8646281502295119,0.8657363573592752,-0.52,large,0.24,1.0,False
elasticnet,svr_rbf,5,0.0,0.0625,0.8646281502295119,0.926919559863402,-1.0,large,0.0,1.0,False
elasticnet,xgboost,5,0.0,0.0625,0.8646281502295119,0.964416433748768,-1.0,large,0.0,1.0,False
extra_trees,gpr,5,0.0,0.0625,0.9255674820841046,0.937385440385905,-0.92,large,0.04,1.0,False
extra_trees,hist_gbr,5,0.0,0.0625,0.9255674820841046,0.9629525990842192,-1.0,large,0.0,1.0,False
extra_trees,knn,5,0.0,0.0625,0.9255674820841046,0.7913666210862951,1.0,large,1.0,1.0,False
extra_trees,lightgbm,5,0.0,0.0625,0.9255674820841046,0.9653447429650954,-1.0,large,0.0,1.0,False
extra_trees,mlp,5,0.0,0.0625,0.9255674820841046,0.9639540304401208,-1.0,large,0.0,1.0,False
extra_trees,mlp_deep,5,0.0,0.0625,0.9255674820841046,0.9731277120086436,-1.0,large,0.0,1.0,False
extra_trees,poly2_ridge,5,0.0,0.0625,0.9255674820841046,0.9422696978547322,-1.0,large,0.0,1.0,False
extra_trees,random_forest,5,0.0,0.0625,0.9255674820841046,0.9289268012295716,-0.44,medium,0.28,1.0,False
extra_trees,ridge,5,0.0,0.0625,0.9255674820841046,0.8657363573592752,1.0,large,1.0,1.0,False
extra_trees,svr_rbf,5,1.0,0.125,0.9255674820841046,0.926919559863402,-0.36,medium,0.32,1.0,False
extra_trees,xgboost,5,0.0,0.0625,0.9255674820841046,0.964416433748768,-1.0,large,0.0,1.0,False
gpr,hist_gbr,5,0.0,0.0625,0.937385440385905,0.9629525990842192,-1.0,large,0.0,1.0,False
gpr,knn,5,0.0,0.0625,0.937385440385905,0.7913666210862951,1.0,large,1.0,1.0,False
gpr,lightgbm,5,0.0,0.0625,0.937385440385905,0.9653447429650954,-1.0,large,0.0,1.0,False
gpr,mlp,5,0.0,0.0625,0.937385440385905,0.9639540304401208,-1.0,large,0.0,1.0,False
gpr,mlp_deep,5,0.0,0.0625,0.937385440385905,0.9731277120086436,-1.0,large,0.0,1.0,False
