group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
catboost,elasticnet,2.0,13.0,11.0,8.873849897310638,True,4.157609203101499,0.2987949497322808
catboost,extra_trees,2.0,10.8,8.8,8.873849897310638,False,3.3260873624811995,1.0
catboost,gpr,2.0,8.0,6.0,8.873849897310638,False,2.2677868380553634,1.0
catboost,hist_gbr,2.0,5.0,3.0,8.873849897310638,False,1.1338934190276817,1.0
catboost,knn,2.0,14.0,12.0,8.873849897310638,True,4.535573676110727,0.1219983416678776
catboost,lightgbm,2.0,3.0,1.0,8.873849897310638,False,0.3779644730092272,1.0
catboost,mlp,2.0,5.2,3.2,8.873849897310638,False,1.209486313629527,1.0
catboost,mlp_deep,2.0,1.0,1.0,8.873849897310638,False,0.3779644730092272,1.0
catboost,poly2_ridge,2.0,7.0,5.0,8.873849897310638,False,1.889822365046136,1.0
catboost,random_forest,2.0,9.4,7.4,8.873849897310638,False,2.7969371002682815,1.0
catboost,ridge,2.0,12.0,10.0,8.873849897310638,True,3.779644730092272,0.6848946801476747
catboost,svr_rbf,2.0,9.8,7.800000000000001,8.873849897310638,False,2.9481228894719727,1.0
catboost,xgboost,2.0,4.8,2.8,8.873849897310638,False,1.058300524425836,1.0
elasticnet,extra_trees,13.0,10.8,2.1999999999999993,8.873849897310638,False,0.8315218406202995,1.0
elasticnet,gpr,13.0,8.0,5.0,8.873849897310638,False,1.889822365046136,1.0
elasticnet,hist_gbr,13.0,5.0,8.0,8.873849897310638,False,3.0237157840738176,1.0
elasticnet,knn,13.0,14.0,1.0,8.873849897310638,False,0.3779644730092272,1.0
elasticnet,lightgbm,13.0,3.0,10.0,8.873849897310638,True,3.779644730092272,0.6848946801476747
elasticnet,mlp,13.0,5.2,7.8,8.873849897310638,False,2.948122889471972,1.0
elasticnet,mlp_deep,13.0,1.0,12.0,8.873849897310638,True,4.535573676110727,0.1219983416678776
elasticnet,poly2_ridge,13.0,7.0,6.0,8.873849897310638,False,2.2677868380553634,1.0
elasticnet,random_forest,13.0,9.4,3.5999999999999996,8.873849897310638,False,1.3606721028332178,1.0
elasticnet,ridge,13.0,12.0,1.0,8.873849897310638,False,0.3779644730092272,1.0
elasticnet,svr_rbf,13.0,9.8,3.1999999999999993,8.873849897310638,False,1.2094863136295269,1.0
elasticnet,xgboost,13.0,4.8,8.2,8.873849897310638,False,3.099308678675663,1.0
extra_trees,gpr,10.8,8.0,2.8000000000000007,8.873849897310638,False,1.0583005244258366,1.0
extra_trees,hist_gbr,10.8,5.0,5.800000000000001,8.873849897310638,False,2.192193943453518,1.0
extra_trees,knn,10.8,14.0,3.1999999999999993,8.873849897310638,False,1.2094863136295269,1.0
extra_trees,lightgbm,10.8,3.0,7.800000000000001,8.873849897310638,False,2.9481228894719727,1.0
extra_trees,mlp,10.8,5.2,5.6000000000000005,8.873849897310638,False,2.1166010488516727,1.0
extra_trees,mlp_deep,10.8,1.0,9.8,8.873849897310638,True,3.704051835490427,0.8021335962834197
extra_trees,poly2_ridge,10.8,7.0,3.8000000000000007,8.873849897310638,False,1.4362649974350636,1.0
extra_trees,random_forest,10.8,9.4,1.4000000000000004,8.873849897310638,False,0.5291502622129183,1.0
extra_trees,ridge,10.8,12.0,1.1999999999999993,8.873849897310638,False,0.4535573676110724,1.0
extra_trees,svr_rbf,10.8,9.8,1.0,8.873849897310638,False,0.3779644730092272,1.0
extra_trees,xgboost,10.8,4.8,6.000000000000001,8.873849897310638,False,2.2677868380553634,1.0
gpr,hist_gbr,8.0,5.0,3.0,8.873849897310638,False,1.1338934190276817,1.0
gpr,knn,8.0,14.0,6.0,8.873849897310638,False,2.2677868380553634,1.0
gpr,lightgbm,8.0,3.0,5.0,8.873849897310638,False,1.889822365046136,1.0
gpr,mlp,8.0,5.2,2.8,8.873849897310638,False,1.058300524425836,1.0
gpr,mlp_deep,8.0,1.0,7.0,8.873849897310638,False,2.6457513110645903,1.0
gpr,poly2_ridge,8.0,7.0,1.0,8.873849897310638,False,0.3779644730092272,1.0
gpr,random_forest,8.0,9.4,1.4000000000000004,8.873849897310638,False,0.5291502622129183,1.0
gpr,ridge,8.0,12.0,4.0,8.873849897310638,False,1.5118578920369088,1.0
gpr,svr_rbf,8.0,9.8,1.8000000000000007,8.873849897310638,False,0.6803360514166092,1.0
gpr,xgboost,8.0,4.8,3.2,8.873849897310638,False,1.209486313629527,1.0
hist_gbr,knn,5.0,14.0,9.0,8.873849897310638,True,3.401680257083045,1.0
hist_gbr,lightgbm,5.0,3.0,2.0,8.873849897310638,False,0.7559289460184544,1.0
hist_gbr,mlp,5.0,5.2,0.20000000000000018,8.873849897310638,False,0.07559289460184551,1.0
hist_gbr,mlp_deep,5.0,1.0,4.0,8.873849897310638,False,1.5118578920369088,1.0
hist_gbr,poly2_ridge,5.0,7.0,2.0,8.873849897310638,False,0.7559289460184544,1.0
hist_gbr,random_forest,5.0,9.4,4.4,8.873849897310638,False,1.6630436812405998,1.0
hist_gbr,ridge,5.0,12.0,7.0,8.873849897310638,False,2.6457513110645903,1.0
hist_gbr,svr_rbf,5.0,9.8,4.800000000000001,8.873849897310638,False,1.814229470444291,1.0
hist_gbr,xgboost,5.0,4.8,0.20000000000000018,8.873849897310638,False,0.07559289460184551,1.0
knn,lightgbm,14.0,3.0,11.0,8.873849897310638,True,4.157609203101499,0.2987949497322808
knn,mlp,14.0,5.2,8.8,8.873849897310638,False,3.3260873624811995,1.0
knn,mlp_deep,14.0,1.0,13.0,8.873849897310638,True,4.913538149119954,0.04659241151927196
knn,poly2_ridge,14.0,7.0,7.0,8.873849897310638,False,2.6457513110645903,1.0
knn,random_forest,14.0,9.4,4.6,8.873849897310638,False,1.7386365758424451,1.0
knn,ridge,14.0,12.0,2.0,8.873849897310638,False,0.7559289460184544,1.0
knn,svr_rbf,14.0,9.8,4.199999999999999,8.873849897310638,False,1.587450786638754,1.0
knn,xgboost,14.0,4.8,9.2,8.873849897310638,True,3.4772731516848903,1.0
lightgbm,mlp,3.0,5.2,2.2,8.873849897310638,False,0.8315218406202999,1.0
lightgbm,mlp_deep,3.0,1.0,2.0,8.873849897310638,False,0.7559289460184544,1.0
