response,group,mean_rank,rank_position,critical_difference
log10_retention_time_s,mlp_deep,1.4,1,8.873849897310638
log10_retention_time_s,mlp,1.6,2,8.873849897310638
log10_retention_time_s,catboost,3.0,3,8.873849897310638
log10_retention_time_s,lightgbm,4.2,4,8.873849897310638
log10_retention_time_s,xgboost,5.2,5,8.873849897310638
log10_retention_time_s,hist_gbr,5.6,6,8.873849897310638
log10_retention_time_s,extra_trees,7.0,7,8.873849897310638
log10_retention_time_s,poly2_ridge,8.4,8,8.873849897310638
log10_retention_time_s,random_forest,8.8,9,8.873849897310638
log10_retention_time_s,gpr,9.8,10,8.873849897310638
log10_retention_time_s,svr_rbf,11.0,11,8.873849897310638
log10_retention_time_s,knn,12.0,12,8.873849897310638
log10_retention_time_s,ridge,13.4,13,8.873849897310638
log10_retention_time_s,elasticnet,13.6,14,8.873849897310638
read_delay_ns,mlp_deep,1.2,1,8.873849897310638
read_delay_ns,mlp,1.8,2,8.873849897310638
read_delay_ns,catboost,3.0,3,8.873849897310638
read_delay_ns,hist_gbr,4.4,4,8.873849897310638
read_delay_ns,lightgbm,4.6,5,8.873849897310638
read_delay_ns,xgboost,6.0,6,8.873849897310638
read_delay_ns,random_forest,7.0,7,8.873849897310638
read_delay_ns,extra_trees,8.0,8,8.873849897310638
read_delay_ns,poly2_ridge,9.0,9,8.873849897310638
read_delay_ns,svr_rbf,10.0,10,8.873849897310638
read_delay_ns,gpr,11.0,11,8.873849897310638
read_delay_ns,ridge,12.2,12,8.873849897310638
read_delay_ns,elasticnet,12.8,13,8.873849897310638
read_delay_ns,knn,14.0,14,8.873849897310638
log10_total_power_nw,mlp_deep,1.0,1,8.873849897310638
log10_total_power_nw,catboost,2.0,2,8.873849897310638
log10_total_power_nw,lightgbm,3.0,3,8.873849897310638
log10_total_power_nw,xgboost,4.8,4,8.873849897310638
log10_total_power_nw,hist_gbr,5.0,5,8.873849897310638
log10_total_power_nw,mlp,5.2,6,8.873849897310638
log10_total_power_nw,poly2_ridge,7.0,7,8.873849897310638
log10_total_power_nw,gpr,8.0,8,8.873849897310638
log10_total_power_nw,random_forest,9.4,9,8.873849897310638
log10_total_power_nw,svr_rbf,9.8,10,8.873849897310638
log10_total_power_nw,extra_trees,10.8,11,8.873849897310638
log10_total_power_nw,ridge,12.0,12,8.873849897310638
log10_total_power_nw,elasticnet,13.0,13,8.873849897310638
log10_total_power_nw,knn,14.0,14,8.873849897310638
read_margin_mv,mlp,1.2,1,8.873849897310638
read_margin_mv,mlp_deep,2.0,2,8.873849897310638
read_margin_mv,catboost,2.8,3,8.873849897310638
read_margin_mv,hist_gbr,4.0,4,8.873849897310638
read_margin_mv,lightgbm,5.0,5,8.873849897310638
read_margin_mv,xgboost,6.0,6,8.873849897310638
read_margin_mv,extra_trees,7.0,7,8.873849897310638
read_margin_mv,random_forest,8.0,8,8.873849897310638
read_margin_mv,poly2_ridge,9.2,9,8.873849897310638
read_margin_mv,gpr,9.8,10,8.873849897310638
read_margin_mv,svr_rbf,11.0,11,8.873849897310638
read_margin_mv,knn,12.0,12,8.873849897310638
read_margin_mv,ridge,13.2,13,8.873849897310638
read_margin_mv,elasticnet,13.8,14,8.873849897310638
write_efficiency,mlp_deep,1.2,1,8.873849897310638
write_efficiency,mlp,2.2,2,8.873849897310638
write_efficiency,catboost,2.6,3,8.873849897310638
write_efficiency,lightgbm,4.0,4,8.873849897310638
write_efficiency,hist_gbr,5.0,5,8.873849897310638
write_efficiency,xgboost,6.0,6,8.873849897310638
write_efficiency,gpr,7.0,7,8.873849897310638
write_efficiency,poly2_ridge,8.0,8,8.873849897310638
write_efficiency,svr_rbf,9.0,9,8.873849897310638
write_efficiency,random_forest,10.0,10,8.873849897310638
write_efficiency,extra_trees,11.0,11,8.873849897310638
write_efficiency,knn,12.0,12,8.873849897310638
write_efficiency,ridge,13.0,13,8.873849897310638
write_efficiency,elasticnet,14.0,14,8.873849897310638
energy_per_access_fj,mlp,1.4,1,8.873849897310638
energy_per_access_fj,mlp_deep,1.6,2,8.873849897310638
energy_per_access_fj,catboost,3.0,3,8.873849897310638
energy_per_access_fj,lightgbm,4.4,4,8.873849897310638
energy_per_access_fj,hist_gbr,5.0,5,8.873849897310638
energy_per_access_fj,xgboost,5.6,6,8.873849897310638
energy_per_access_fj,poly2_ridge,7.0,7,8.873849897310638
energy_per_access_fj,gpr,8.0,8,8.873849897310638
energy_per_access_fj,random_forest,9.6,9,8.873849897310638
energy_per_access_fj,svr_rbf,9.8,10,8.873849897310638
energy_per_access_fj,extra_trees,10.6,11,8.873849897310638
energy_per_access_fj,knn,12.0,12,8.873849897310638
energy_per_access_fj,ridge,13.4,13,8.873849897310638
energy_per_access_fj,elasticnet,13.6,14,8.873849897310638
