group,n,mean,std,median,iqr,min,max,mean_ci_low,mean_ci_high
catboost,5,0.9365836795036107,0.0023789501360964517,0.9363373434014152,0.0016141134652488676,0.9339639586243992,0.940328681831932,0.9349133125352056,0.9385321077989481
elasticnet,5,0.6326598193802642,0.005655329475839117,0.63286279590864,0.0005762026462745595,0.6245006937915392,0.6404792261419444,0.6278762338271987,0.637348112708187
extra_trees,5,0.8459168317655525,0.0030021613179398287,0.8476307107084395,0.004415898556586084,0.8417210970281461,0.8483161722751582,0.8434158939800914,0.8481190265262721
gpr,5,0.7990204126489073,0.00823003909664699,0.801488890755065,0.009298075811628892,0.7876039402389242,0.8085650371560177,0.7920512031622605,0.8050722471946518
hist_gbr,5,0.9196796176148281,0.0027449628424549358,0.921019557459654,0.00438013409574356,0.9160270880491392,0.9220055575425756,0.9174854298340378,0.921751338332664
knn,5,0.5225551475676785,0.008748749018913158,0.5216927579891337,0.015300037178592518,0.5122453714314831,0.5314738094149889,0.515649452535259,0.5294324643352385
lightgbm,5,0.9189143331910621,0.0048390260551164225,0.9201517277446104,0.004335509412815131,0.9118784091979816,0.9246789167697594,0.9148094945282358,0.9223798725104475
mlp,5,0.96790127057495,0.004221954485961801,0.9700526459651126,0.002602211580847835,0.9607315698792498,0.9710985767327812,0.9641607921457819,0.9704951142618258
mlp_deep,5,0.9710846880657625,0.004576781840511012,0.9723127451264356,0.004493331025623215,0.9646834215818946,0.9766637577197792,0.9671627561292773,0.9743794214984641
poly2_ridge,5,0.8294419282946708,0.00485242675649707,0.8290996573670271,0.0026790860584335885,0.8246022615141027,0.837393123927582,0.8262946573453037,0.8336587940894775
random_forest,5,0.8494915039036185,0.004688657465650969,0.8501603741959121,0.0028362714450000936,0.8428457518707599,0.8557570249194781,0.8458925899593325,0.8530720994995635
ridge,5,0.6327472759494739,0.0057400256081940725,0.6332168300913028,0.001306327897439008,0.6245398358154417,0.6407053866261003,0.628025333018722,0.6374633979256294
svr_rbf,5,0.8102077027445154,0.006413301784008574,0.8085173675090638,0.005163895714420219,0.8037498117383318,0.8204291568163424,0.8058390545860291,0.8153580637747979
xgboost,5,0.9063217004111188,0.003453658572129965,0.9064518366810128,0.003173112589775595,0.903219498119096,0.9117913563561358,0.9039727062457557,0.9090624509808414
