group,n,statistic,p_value,normal_at_alpha
catboost,5,0.9428027147347395,0.6858155694137587,True
elasticnet,5,0.9048375179087648,0.43719716381820917,True
extra_trees,5,0.8236301457536872,0.1245053388412311,True
gpr,5,0.9657509646175766,0.8473459611858531,True
hist_gbr,5,0.8397044471435758,0.16410658727575816,True
knn,5,0.8863036075187687,0.3388576773943546,True
lightgbm,5,0.9745567873034862,0.9036115730109144,True
mlp,5,0.7927980357178248,0.07069868355725062,True
mlp_deep,5,0.9768762130509887,0.9172582035472437,True
poly2_ridge,5,0.8885216926390745,0.3497242966262755,True
random_forest,5,0.9763788244271957,0.9143823837728644,True
ridge,5,0.9280847957740843,0.5833695525853155,True
svr_rbf,5,0.9243812284511509,0.5585878623867829,True
xgboost,5,0.8755018019322088,0.28942201371068105,True
