group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
catboost,elasticnet,5,0.0,0.0625,0.9363373434014152,0.63286279590864,1.0,large,1.0,1.0,False
catboost,extra_trees,5,0.0,0.0625,0.9363373434014152,0.8476307107084395,1.0,large,1.0,1.0,False
catboost,gpr,5,0.0,0.0625,0.9363373434014152,0.801488890755065,1.0,large,1.0,1.0,False
catboost,hist_gbr,5,0.0,0.0625,0.9363373434014152,0.921019557459654,1.0,large,1.0,1.0,False
catboost,knn,5,0.0,0.0625,0.9363373434014152,0.5216927579891337,1.0,large,1.0,1.0,False
catboost,lightgbm,5,0.0,0.0625,0.9363373434014152,0.9201517277446104,1.0,large,1.0,1.0,False
catboost,mlp,5,0.0,0.0625,0.9363373434014152,0.9700526459651126,-1.0,large,0.0,1.0,False
catboost,mlp_deep,5,0.0,0.0625,0.9363373434014152,0.9723127451264356,-1.0,large,0.0,1.0,False
catboost,poly2_ridge,5,0.0,0.0625,0.9363373434014152,0.8290996573670271,1.0,large,1.0,1.0,False
catboost,random_forest,5,0.0,0.0625,0.9363373434014152,0.8501603741959121,1.0,large,1.0,1.0,False
catboost,ridge,5,0.0,0.0625,0.9363373434014152,0.6332168300913028,1.0,large,1.0,1.0,False
catboost,svr_rbf,5,0.0,0.0625,0.9363373434014152,0.8085173675090638,1.0,large,1.0,1.0,False
catboost,xgboost,5,0.0,0.0625,0.9363373434014152,0.9064518366810128,1.0,large,1.0,1.0,False
elasticnet,extra_trees,5,0.0,0.0625,0.63286279590864,0.8476307107084395,-1.0,large,0.0,1.0,False
elasticnet,gpr,5,0.0,0.0625,0.63286279590864,0.801488890755065,-1.0,large,0.0,1.0,False
elasticnet,hist_gbr,5,0.0,0.0625,0.63286279590864,0.921019557459654,-1.0,large,0.0,1.0,False
elasticnet,knn,5,0.0,0.0625,0.63286279590864,0.5216927579891337,1.0,large,1.0,1.0,False
elasticnet,lightgbm,5,0.0,0.0625,0.63286279590864,0.9201517277446104,-1.0,large,0.0,1.0,False
elasticnet,mlp,5,0.0,0.0625,0.63286279590864,0.9700526459651126,-1.0,large,0.0,1.0,False
elasticnet,mlp_deep,5,0.0,0.0625,0.63286279590864,0.9723127451264356,-1.0,large,0.0,1.0,False
