group,n,mean,std,median,iqr,min,max,mean_ci_low,mean_ci_high
catboost,5,0.9335589904794933,0.005225067963360107,0.9352208753686734,0.006744012813780453,0.926241897784174,0.9390498256058656,0.9292016093982551,0.9374693786065877
elasticnet,5,0.6104355721713334,0.02657795205023429,0.6016043463575207,0.03376685057824691,0.578254362624848,0.6437898111626369,0.5905751123481261,0.6306827214550792
extra_trees,5,0.8356843655804134,0.009547139294816048,0.8331905005315909,0.006072349827423995,0.8241838362633179,0.850092270552318,0.8287013458689587,0.8431817495104506
gpr,5,0.7372111107033245,0.014526051353384953,0.7380452007868432,0.011304645021376625,0.7216048405986781,0.7597066760234124,0.7263026715807446,0.7489724648800473
hist_gbr,5,0.9046422353224294,0.00924537941996785,0.9043951623553346,0.004092415592556353,0.8923920638272407,0.9181655511812548,0.8975467612980434,0.9121949615453959
knn,5,0.6497471698134806,0.02066593295540025,0.6582236920772705,0.029741792070234085,0.6269256407596384,0.6746081705813374,0.634262305435094,0.6652320341918673
lightgbm,5,0.8915606690257704,0.013234431371629185,0.8923102610760806,0.013300362622287398,0.8753828697739865,0.9101328401565754,0.8817473785547663,0.9020364570859792
mlp,5,0.9613862830069528,0.005058024089450649,0.9609552098643456,0.005736369035115985,0.9546684379678472,0.9677299394145958,0.9575166283383035,0.9652716666121559
mlp_deep,5,0.9509894502418506,0.013594011863616733,0.951549324996298,0.003964546791917933,0.9301116745921278,0.9680099826438954,0.9391222585506632,0.9612470268040983
poly2_ridge,5,0.7473384529420761,0.013766676558067898,0.7415368426339787,0.022332467169794867,0.7334693188369135,0.764018773978971,0.7368261651005725,0.7579148374044467
random_forest,5,0.808018851315737,0.01533291144309951,0.8046672448131442,0.005315066733231233,0.796490101569209,0.8347093490343515,0.7993119884760624,0.8216503078261146
ridge,5,0.6105624198240467,0.02631465137072096,0.6018425780409802,0.03334144256443783,0.5785383471064381,0.6434497723080348,0.5909118462708398,0.6304674872677155
svr_rbf,5,0.6925602145374778,0.028535050270888564,0.6833692961665874,0.03150574327365119,0.6698119014188558,0.7380270553071466,0.6726160351050894,0.7170884697749041
xgboost,5,0.8839391990634603,0.01644148951723088,0.8845858120114658,0.008290102743053085,0.8620186759509689,0.9076666120805188,0.8711482631768789,0.8972306089037341
