group,n,statistic,p_value,normal_at_alpha
catboost,5,0.9415971858787809,0.6772515527292131,True
elasticnet,5,0.9462423305714767,0.7103360711300294,True
extra_trees,5,0.9576296676348307,0.7913886789885574,True
gpr,5,0.9323670446036683,0.6125988214639171,True
hist_gbr,5,0.9600686093303521,0.8084609614711193,True
knn,5,0.884428328943888,0.3298618427856154,True
lightgbm,5,0.987759676060751,0.9712725248014983,True
mlp,5,0.9900739438947442,0.9799529076052187,True
mlp_deep,5,0.9247865304802675,0.5612756123134615,True
poly2_ridge,5,0.8708898024504411,0.27004546406107266,True
random_forest,5,0.7572172708687906,0.03466682353622634,False
ridge,5,0.9460510229200738,0.7089698802781307,True
svr_rbf,5,0.8605870942945684,0.23036391991264404,True
xgboost,5,0.9672662618058429,0.8574352043482025,True
