group,n,mean,std,median,iqr,min,max,mean_ci_low,mean_ci_high
catboost,5,0.9845960711075691,0.001968368819058753,0.984806707101278,0.0024276648749124163,0.9820570517842144,0.9870560467070368,0.9830645643850046,0.9860814030671161
elasticnet,5,0.6849715998201998,0.0024976984451267697,0.6848120131286162,0.0025812136094395255,0.6813709867894375,0.6878415273125197,0.6830240721940708,0.6868716107615969
extra_trees,5,0.8035230797432247,0.0100304215548047,0.8010233173077091,0.011592153465149302,0.7941887251100609,0.818875014652455,0.796267391141716,0.8120306771206526
gpr,5,0.9405482988935978,0.003415413249340404,0.9400279535061978,0.0035864853342507663,0.9369064436558364,0.945670244609271,0.9380782416360607,0.9434133281680417
hist_gbr,5,0.9780050751928782,0.0025496913093830606,0.9765399315401352,0.002348542321589653,0.9760239296816564,0.9821220390996092,0.9763157448449696,0.9803411185883635
knn,5,0.7358091566257027,0.006537227333443043,0.7389209945671755,0.004684286884196864,0.7247793848567955,0.7407189745042619,0.730005640046538,0.7399339319320353
lightgbm,5,0.9787874447480626,0.0025519179112277928,0.9774050997559982,0.0031284320754043637,0.9766521318192722,0.9826133623480052,0.9769695122272349,0.9810213433722105
mlp,5,0.9880409425216905,0.004946538997365905,0.9884604447433244,0.003632071602207687,0.9806138565645716,0.9939888843260988,0.9841377627450744,0.991777508492989
mlp_deep,5,0.9930832160095326,0.0025290359410778504,0.9937741975410794,0.0019198863326940208,0.9892542194872151,0.99601249124626,0.9910382734270105,0.9948825291023777
poly2_ridge,5,0.9330371090929706,0.0033737883328769412,0.9315921098714192,0.0013574990759521732,0.930282495584957,0.9388380067745408,0.9310545070398634,0.9359423464127048
random_forest,5,0.8114557665371003,0.008064182227004293,0.8119284833370727,0.00864105195364051,0.8028259457947996,0.8233368073356494,0.8055330867204755,0.8178396036449854
ridge,5,0.688350998875688,0.002714420887080517,0.6882058855502888,0.0026903448557648035,0.6841706711727505,0.6909818367108989,0.6862522743937346,0.6902684222154394
svr_rbf,5,0.9268243302902951,0.004898219236593084,0.9272624629151792,0.004214399718932782,0.919373853903077,0.9323237477790188,0.9230144035821952,0.930299233833483
xgboost,5,0.9707112857756386,0.0034221732118739686,0.9699317770874208,0.0033067909648349936,0.9672429190977944,0.9760195981440604,0.9682945917734184,0.9735844697214044
