group,n,statistic,p_value,normal_at_alpha
catboost,5,0.9856903622305985,0.9625482718956322,True
elasticnet,5,0.9714522783798978,0.8844904717636739,True
extra_trees,5,0.9165296481262305,0.5078042633241857,True
gpr,5,0.9593071894119287,0.80315069792178,True
hist_gbr,5,0.8207814476544858,0.11839812890039159,True
knn,5,0.8041824247007534,0.08761223358741149,True
lightgbm,5,0.8542112549759194,0.2082004042887845,True
mlp,5,0.9745157022518325,0.9033646174817712,True
mlp_deep,5,0.9597359717526806,0.8061434559555842,True
poly2_ridge,5,0.7943785819328226,0.07286397773620296,True
random_forest,5,0.9497514048375385,0.7354122386872856,True
ridge,5,0.9091303022311772,0.4623816919486662,True
svr_rbf,5,0.9651447148678606,0.8432717454960337,True
xgboost,5,0.9387573896753877,0.6571667442178928,True
